"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0030100","regulation of endocytosis",1,1,1,0.00414620687460211,0.0170626431605373,2.03352185552903,0.00414620687460211,0.0170626431605373,2.03352185552903,1,2.03352185552903,2.03352185552903,0,"2.034","4.1e-03","1.7e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00852378100957339,2.03352185552903,2.03352185552903,0.0170626431605373,0.00414620687460211,2.03352185552903,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",1,1,1,0.00450273069971018,0.0118071605014623,-2.03329108478999,0.00450273069971018,0.0118071605014623,2.03329108478999,1,-2.03329108478999,-2.03329108478999,0,"-2.033","4.5e-03","1.2e-02","5pct","78_Sst_HPF","0.5","GO_MF","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00902049387148908,-2.03329108478999,-2.03329108478999,0.0118071605014623,0.00450273069971018,2.03329108478999,1,"78_Sst_HPF","parity","Under-represented","Method-Specific"
"GO:0044282","small molecule catabolic process",2,1,2,0.0359506566752721,0.0976893889707343,2.03108796760984,0.00330731889442326,0.0128980365690564,2.03108796760984,0.969085851961438,1.99152629793857,2.08054005469893,0.0890137567603599,"1.992;2.081","3.3e-03;3.3e-03","1.2e-02;1.4e-02","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0398785987934963,2.03108796760984,2.03108796760984,0.0976893889707343,0.0359506566752721,2.03108796760984,2,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0061387","regulation of extent of cell growth",1,1,1,0.00578472006866837,0.0219304284795065,2.03089093328655,0.00578472006866837,0.0219304284795065,2.03089093328655,1,2.03089093328655,2.03089093328655,0,"2.031","5.8e-03","2.2e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0104953386755502,2.03089093328655,2.03089093328655,0.0219304284795065,0.00578472006866837,2.03089093328655,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0006813","potassium ion transport",1,1,1,0.00414039287331054,0.0170626431605373,2.03051813997375,0.00414039287331054,0.0170626431605373,2.03051813997375,1,2.03051813997375,2.03051813997375,0,"2.031","4.1e-03","1.7e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00852378100957339,2.03051813997375,2.03051813997375,0.0170626431605373,0.00414039287331054,2.03051813997375,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0042734","presynaptic membrane",1,1,1,0.00345793764084031,0.00873350916981463,2.02915861683701,0.00345793764084031,0.00873350916981463,2.02915861683701,1,2.02915861683701,2.02915861683701,0,"2.029","3.5e-03","8.7e-03","10pct","78_Sst_HPF","0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00758719650865694,2.02915861683701,2.02915861683701,0.00873350916981463,0.00345793764084031,2.02915861683701,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0006898","receptor-mediated endocytosis",1,1,1,0.00538410146158026,0.0207672484946667,2.02817245354212,0.00538410146158026,0.0207672484946667,2.02817245354212,1,2.02817245354212,2.02817245354212,0,"2.028","5.4e-03","2.1e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0102146846445826,2.02817245354212,2.02817245354212,0.0207672484946667,0.00538410146158026,2.02817245354212,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0070161","anchoring junction",1,1,1,0.0047678205286587,0.0111816743350686,2.02249210845067,0.0047678205286587,0.0111816743350686,2.02249210845067,1,2.02249210845067,2.02249210845067,0,"2.022","4.8e-03","1.1e-02","10pct","78_Sst_HPF","0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00930268565689434,2.02249210845067,2.02249210845067,0.0111816743350686,0.0047678205286587,2.02249210845067,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0071900","regulation of protein serine/threonine kinase activity",1,1,1,0.00380414181539099,0.0158912641118409,2.02216238237434,0.00380414181539099,0.0158912641118409,2.02216238237434,1,2.02216238237434,2.02216238237434,0,"2.022","3.8e-03","1.6e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00805187613929047,2.02216238237434,2.02216238237434,0.0158912641118409,0.00380414181539099,2.02216238237434,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0003676","nucleic acid binding",1,1,1,0.00674944085999961,0.0169454047123395,-2.01778574305894,0.00674944085999961,0.0169454047123395,2.01778574305894,1,-2.01778574305894,-2.01778574305894,0,"-2.018","6.7e-03","1.7e-02","5pct","78_Sst_HPF","0.5","GO_MF","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0117177359153244,-2.01778574305894,-2.01778574305894,0.0169454047123395,0.00674944085999961,2.01778574305894,1,"78_Sst_HPF","parity","Under-represented","Method-Specific"
