"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0005768","endosome",2,1,2,0.031818954614867,0.0596806394451649,2.03618089690797,0.00657663792398742,0.0124324844279953,2.03618089690797,0.826308059634659,1.81081098891025,2.31789328190512,0.507082292994868,"1.811;2.318","1.1e-02;4.9e-04","2.1e-02;1.5e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.0357302511764506,2.03618089690797,2.03618089690797,0.0596806394451649,0.031818954614867,2.03618089690797,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0044085","cellular component biogenesis",2,1,2,0.0302150774182438,0.0835012329138824,2.03337722849743,0.00281423384246712,0.0109985949630891,2.03337722849743,0.932115546977541,1.92550227681718,2.11967718984164,0.194174913024467,"2.12;1.926","1.9e-03;4.0e-03","7.5e-03;1.5e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0342966638612336,2.03337722849743,2.03337722849743,0.0835012329138824,0.0302150774182438,2.03337722849743,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0030100","regulation of endocytosis",1,1,1,0.00432596757917815,0.016233376644577,2.03289528710586,0.00432596757917815,0.016233376644577,2.03289528710586,1,2.03289528710586,2.03289528710586,0,"2.033","4.3e-03","1.6e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00817878245438369,2.03289528710586,2.03289528710586,0.016233376644577,0.00432596757917815,2.03289528710586,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0030001","metal ion transport",2,1,2,0.0401351429514148,0.10363127058488,2.03108296254038,0.0040809549362772,0.0143547387228139,2.03108296254038,0.968809521884541,1.99116689546219,2.0809780463881,0.0898111509259094,"1.991;2.081","5.3e-03;2.5e-03","1.7e-02;1.1e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0432829973005454,2.03108296254038,2.03108296254038,0.10363127058488,0.0401351429514148,2.03108296254038,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0090407","organophosphate biosynthetic process",2,1,2,0.0455792252586339,0.114257277140611,2.0285897477815,0.00455013592314859,0.0160048217330153,2.0285897477815,0.976032378587568,1.99046169595114,2.05909218924579,0.0686304932946462,"2.059;1.99","4.8e-03;4.2e-03","1.6e-02;1.6e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0484629723751732,2.0285897477815,2.0285897477815,0.114257277140611,0.0455792252586339,2.0285897477815,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0006950","response to stress",2,1,2,0.0397644569627885,0.102952593453797,2.02830649457567,0.0040010292669783,0.0141788661549715,2.02830649457567,0.970411374733152,1.99049693407147,2.07556844520594,0.0850715111344711,"1.99;2.076","5.1e-03;2.6e-03","1.7e-02;1.1e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0430366663014079,2.02830649457567,2.02830649457567,0.102952593453797,0.0397644569627885,2.02830649457567,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0055074","calcium ion homeostasis",2,1,2,0.0370086400628154,0.0976800489149901,2.02549474529448,0.00344467174573996,0.0129354751983013,2.02549474529448,0.991780048937122,2.0124221306297,2.03595283702631,0.0235307063966164,"2.036;2.012","3.2e-03;3.7e-03","1.2e-02;1.5e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0407095040690969,2.02549474529448,2.02549474529448,0.0976800489149901,0.0370086400628154,2.02549474529448,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0022607","cellular component assembly",2,1,2,0.0376144499028265,0.0986466844901453,2.02448939963705,0.00353323750706859,0.0131633116675775,2.02448939963705,0.989924591367058,2.00847624056518,2.03729992689454,0.0288236863293641,"2.037;2.008","3.2e-03;4.0e-03","1.1e-02;1.5e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.041225982230453,2.02448939963705,2.02448939963705,0.0986466844901453,0.0376144499028265,2.02448939963705,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",1,1,1,0.00547517802194949,0.0134598126372925,-2.02201401051543,0.00547517802194949,0.0134598126372925,2.02201401051543,1,-2.02201401051543,-2.02201401051543,0,"-2.022","5.5e-03","1.3e-02","5pct","376_Astro","0.5","GO_MF","376_Astro",TRUE,"v7_weighted_standalone",0.00941046222522568,-2.02201401051543,-2.02201401051543,0.0134598126372925,0.00547517802194949,2.02201401051543,1,"376_Astro","parity","Under-represented","Method-Specific"
"GO:0015631","tubulin binding",1,1,1,0.00597243483322244,0.0229619637030073,2.0202913826836,0.00597243483322244,0.0229619637030073,2.0202913826836,1,2.0202913826836,2.0202913826836,0,"2.02","6e-03","2.3e-02","10pct","376_Astro","0.4","GO_MF","376_Astro",TRUE,"v7_weighted_standalone",0.0100092051914116,2.0202913826836,2.0202913826836,0.0229619637030073,0.00597243483322244,2.0202913826836,1,"376_Astro","parity","Over-represented","Method-Specific"
