"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0065008","regulation of biological quality",4,2,2,1.03993167666371e-17,1.67082468663497e-13,4.03367911220845,1.7752886001547e-12,4.89044479507285e-10,4.03367911220845,0.985595356697511,3.9765717689826,4.0941786220388,0.117606853056201,"3.977;4.094;4.003;4.083","2.8e-12;6.2e-13;2.4e-12;8.0e-13","6.4e-10;2.7e-10;5.5e-10;4.4e-10","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",5.80470954065017e-16,4.03367911220845,4.03367911220845,1.67082468663497e-13,1.03993167666371e-17,4.03367911220845,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0051179","localization",4,2,2,8.06551784808681e-17,6.27213937678269e-13,3.99509719379633,6.87610432919604e-12,1.26652057599196e-09,3.99509719379633,0.992051279728562,3.96849620649482,4.03961080579034,0.0711145992955187,"4.04;3.987;3.978;3.968","6.3e-12;1.9e-12;1.5e-11;2.3e-12","1.1e-09;5.1e-10;2.6e-09;6.4e-10","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",4.12685663227108e-15,3.99509719379633,3.99509719379633,6.27213937678269e-13,8.06551784808681e-17,3.99509719379633,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0098793","presynapse",6,2,3,2.03746587912035e-14,4.11199022969555e-12,3.83420436095739,7.6377503209721e-08,2.75538039907499e-06,3.83420436095739,0.849370919731743,2.97974341156337,4.27649617024562,1.29675275868225,"3.644;4.23;2.98;3.676;4.276;3.075","2.3e-09;5.4e-13;1.0e-06;1.6e-09;1.5e-13;5.0e-07","3.8e-08;1.2e-11;3.7e-05;2.7e-08;3.3e-12;1.8e-05","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",9.62310807522997e-13,3.83420436095739,3.83420436095739,4.11199022969555e-12,2.03746587912035e-14,3.83420436095739,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0044297","cell body",6,2,3,1.16516405599588e-11,1.26034983847761e-09,3.57175514679985,9.82560461441842e-09,2.69674227387136e-07,3.57175514679985,0.942217730372795,3.25232513217863,3.74406838284586,0.491743250667233,"3.467;3.732;3.252;3.522;3.744;3.329","1.4e-08;6.9e-10;1.9e-08;1.5e-08;2.7e-10;3.0e-08","2.0e-07;6.2e-09;1.3e-06;2.2e-07;3.3e-09;2.0e-06","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",3.93147615107794e-10,3.57175514679985,3.57175514679985,1.26034983847761e-09,1.16516405599588e-11,3.57175514679985,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0034220","monoatomic ion transmembrane transport",6,2,3,1.74010899631908e-12,9.14288348834784e-09,3.56764547953965,2.29929148951358e-06,0.000322317238344345,3.56764547953965,0.821527723501921,2.65301135231214,4.0697840837769,1.41677273146476,"3.396;4.07;2.681;3.408;3.931;2.653","5.3e-09;8.2e-12;1.9e-05;1.5e-08;1.1e-11;2.7e-05","7.1e-07;1.5e-09;2.9e-03;1.5e-06;2.0e-09;3.5e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",7.63162088385655e-11,3.56764547953965,3.56764547953965,9.14288348834784e-09,1.74010899631908e-12,3.56764547953965,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0036477","somatodendritic compartment",6,2,3,1.28061112412962e-11,1.25238843757203e-09,3.55742156716487,2.7298370215449e-08,9.11465168669997e-07,3.55742156716487,0.909007864338628,3.10503196758397,3.85521738305753,0.750185415473562,"3.407;3.828;3.105;3.418;3.855;3.185","1.6e-08;2.5e-10;1.8e-07;2.2e-08;1.8e-10;1.7e-07","2.2e-07;2.8e-09;9.0e-06;2.6e-07;2.5e-09;6.8e-06","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",3.93147615107794e-10,3.55742156716487,3.55742156716487,1.25238843757203e-09,1.28061112412962e-11,3.55742156716487,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0031410","cytoplasmic vesicle",6,2,3,1.12339999559762e-11,9.73429354784362e-10,3.5321158962096,1.50578608744944e-05,0.000163145670561863,3.5321158962096,0.796924292746078,2.44790353199985,3.94766081115183,1.49975727915198,"3.418;3.915;2.448;3.433;3.948;2.488","2.8e-08;3.2e-11;1.8e-04;2.1e-08;1.8e-11;1.2e-04","3.0e-07;5.3e-10;1.9e-03;2.5e-07;3.0e-10;1.3e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",3.93147615107794e-10,3.5321158962096,3.5321158962096,9.73429354784362e-10,1.12339999559762e-11,3.5321158962096,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0097708","intracellular vesicle",6,2,3,1.12339999559762e-11,9.73429354784362e-10,3.5321158962096,1.50578608744944e-05,0.000163145670561863,3.5321158962096,0.796924292746078,2.44790353199985,3.94766081115183,1.49975727915198,"3.418;3.915;2.448;3.433;3.948;2.488","2.8e-08;3.2e-11;1.8e-04;2.1e-08;1.8e-11;1.2e-04","3.0e-07;5.3e-10;1.9e-03;2.5e-07;3.0e-10;1.3e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",3.93147615107794e-10,3.5321158962096,3.5321158962096,9.73429354784362e-10,1.12339999559762e-11,3.5321158962096,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0031982","vesicle",6,2,3,7.51092337725276e-12,7.59214631619594e-10,3.52312758137668,8.57395110810325e-06,0.000112125977485205,3.52312758137668,0.80344588298351,2.48247458476073,3.96736159140524,1.48488700664451,"3.384;3.898;2.482;3.413;3.967;2.533","1.9e-08;1.7e-11;9.0e-05;2.8e-08;1.6e-11;8.1e-05","2.3e-07;3.4e-10;1.2e-03;3.0e-07;3.0e-10;1.1e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",3.07447130242213e-10,3.52312758137668,3.52312758137668,7.59214631619594e-10,7.51092337725276e-12,3.52312758137668,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0006091","generation of precursor metabolites and energy",6,2,3,1.66811530260551e-11,4.39873906895118e-08,3.47668215702601,5.893771439733e-07,9.45871435875192e-05,3.47668215702601,0.833530759393326,2.87386487795495,4.14456764406844,1.27070276611349,"3.15;4.145;2.899;3.101;3.982;2.874","4.7e-07;2.3e-12;4.6e-06;3.2e-07;4.8e-12;3.3e-06","2.0e-05;5.1e-10;1.0e-03;1.5e-05;1.1e-09;7.1e-04","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",4.87725140857039e-10,3.47668215702601,3.47668215702601,4.39873906895118e-08,1.66811530260551e-11,3.47668215702601,6,"CA3_do_combined","parity","Over-represented","Moderate"
