"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"358_CA3_do","DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN","DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN",4,"association;expression;statistical;composite","MSigDB Curated",1.64917691768522e-25,1.58069814085698e-18,1,3.15709236352754,0.965337781675472,5.53982317082974,2.33145450079566e-06,2.23321464510171e-06,6.46904424826212e-06,1.99402451340296e-06,3.19159579298705,3.031731454297,3.11622912650587,3.28881308032026,5.34780061060316,"parity","High","Upregulation"
"358_CA3_do","ALONSO_METASTASIS_UP","ALONSO_METASTASIS_UP",4,"association;expression;statistical;composite","MSigDB Curated",1.84872461386254e-26,2.45171627738083e-19,1,-2.56331592489079,0.921203997231621,5.78175746528871,7.75653244632789e-07,1.94174380533341e-06,2.63200561035442e-06,2.35024333374328e-06,-2.77611532432559,-2.61970154109916,-2.29143995956139,-2.56600687457704,5.32617808804772,"parity","High","Downregulation"
"358_CA3_do","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP",4,"association;expression;statistical;composite","MSigDB Curated",9.1519709563622e-26,8.74380905894067e-19,1,-2.93084384720989,0.945685886143088,5.62105477849798,1.28413747306843e-06,3.69091775160424e-06,3.77645270681835e-06,2.0023306994815e-06,-3.10079940287234,-2.94332918947518,-2.71646158918722,-2.96278520730481,5.31575216926271,"parity","High","Downregulation"
"358_CA3_do","R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA",4,"association;expression;statistical;composite","Reactome Pathways",3.79678945435852e-24,9.63762872708898e-20,1,-2.30550589467432,0.899272778861359,5.90639265551171,3.14697342256002e-07,7.82889842673504e-07,6.63741116881538e-06,2.12115734107441e-06,-2.57189297831433,-2.3160469541447,-2.00522283469064,-2.3288608115476,5.31145813636834,"parity","High","Downregulation"
"358_CA3_do","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC","REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC",4,"association;expression;statistical;composite","MSigDB Curated",1.22207300355045e-25,1.27288656265087e-18,1,-3.01662740421003,0.950490912226261,5.57647623749508,1.25762480462214e-06,2.52468232938114e-06,9.11650466620005e-06,1.84394641793624e-06,-3.17856957056,-3.05902708368209,-2.81954615300711,-3.0093668095909,5.30038998598477,"parity","High","Downregulation"
"358_CA3_do","DACOSTA_UV_RESPONSE_VIA_ERCC3_UP","DACOSTA_UV_RESPONSE_VIA_ERCC3_UP",4,"association;expression;statistical;composite","MSigDB Curated",3.58566553050455e-26,3.83679474633306e-19,1,-2.32004796037954,0.921400391653411,5.72638363874619,1.2770675757856e-06,2.2996553643065e-06,1.57503327370145e-06,3.23646099660871e-06,-2.52792489982883,-2.33710683462922,-2.0831652538969,-2.33199485316322,5.27629212749842,"parity","High","Downregulation"
"358_CA3_do","BIOCARTA_PROTEASOME_PATHWAY","BIOCARTA_PROTEASOME_PATHWAY",4,"association;expression;statistical;composite","MSigDB Curated",2.68646033697488e-25,2.15635235479218e-18,1,-3.01995671006734,0.958484272358309,5.49941087483281,3.27611580159022e-06,3.53761750158589e-06,3.55861118386138e-06,2.26421411137762e-06,-3.13766858666194,-3.0569718095674,-2.84269125048548,-3.04249519355452,5.2710988307635,"parity","High","Downregulation"
"358_CA3_do","mmu05204","Chemical carcinogenesis - DNA adducts",4,"association;expression;statistical;composite","KEGG Pathways",4.75309764256247e-25,8.68558311806422e-18,1,-3.00699500604942,0.982831004639459,5.34857097571653,9.39250635344002e-06,4.24353453972821e-06,1.00623255339216e-06,1.02315220403642e-05,-3.05873708243942,-2.99818233676294,-2.93905611662655,-3.03200448836875,5.25674138544893,"parity","High","Downregulation"
"358_CA3_do","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",4,"association;expression;statistical;composite","MSigDB Curated",2.74465346915741e-25,2.07890772355154e-18,1,-2.95144866422456,0.954941141686267,5.50259210951261,3.70953162599618e-06,4.20419598974861e-06,2.35618537852704e-06,2.44452972495859e-06,-3.10129883634452,-2.99131206807452,-2.78236789510994,-2.93081585736927,5.25465159129182,"parity","High","Downregulation"
"358_CA3_do","MANALO_HYPOXIA_DN","MANALO_HYPOXIA_DN",4,"association;expression;statistical;composite","MSigDB Curated",1.76794094068007e-26,2.13761248253738e-19,1,-2.33130027439787,0.902167891826247,5.82424651793885,3.9833682663348e-07,1.29381543089794e-06,3.78264720574108e-06,4.1333912498285e-06,-2.59708047241595,-2.36548991054009,-2.04121333760063,-2.32141737703481,5.25444820256525,"parity","High","Downregulation"
"358_CA3_do","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6","REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6",4,"association;expression;statistical;composite","MSigDB Curated",1.8234925359928e-25,1.58740810593041e-18,1,-2.93601086455163,0.948501921834168,5.53820970544234,2.56026389791086e-06,3.35607750564477e-06,3.77645270681835e-06,2.07911893682926e-06,-3.10657592872287,-2.95040332212999,-2.73822503400331,-2.94883917335035,5.2530025491327,"parity","High","Downregulation"
"358_CA3_do","PULVER_FOREY_PERTURB_ATTRITION_G2_M","PULVER_FOREY_PERTURB_ATTRITION_G2_M",4,"association;expression;statistical;composite","MSigDB Curated",1.33397476153602e-26,1.88321258424349e-19,1,-2.12055650196806,0.907976914187301,5.78328639324925,9.02448951052921e-07,7.68537289162335e-07,1.3991275892814e-05,7.26158183786174e-07,-2.33292114655364,-2.1470340292522,-1.8598616527698,-2.14240917929659,5.25109053320386,"parity","High","Downregulation"
"358_CA3_do","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",4,"association;expression;statistical;composite","MSigDB Curated",8.16250821765176e-25,5.84960392563372e-18,1,-2.90999995946027,0.97242403172526,5.37320838423103,7.66894282665865e-06,9.14844230056055e-06,1.20916912881004e-06,3.17732817399935e-06,-2.98865959979083,-2.94614972069358,-2.8014407707271,-2.90374974662955,5.22503696029391,"parity","High","Downregulation"
"358_CA3_do","SHEPARD_CRASH_AND_BURN_MUTANT_UP","SHEPARD_CRASH_AND_BURN_MUTANT_UP",4,"association;expression;statistical;composite","MSigDB Curated",8.97063146653452e-26,8.93836797703228e-19,1,-2.53408767763349,0.925352192538003,5.63784935568973,1.16505291931055e-06,2.1130190241182e-06,3.36835413352045e-06,4.42418524207128e-06,-2.7359403381322,-2.56269534441964,-2.2788032992936,-2.55891172868851,5.21699626248646,"parity","High","Downregulation"
"358_CA3_do","KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",4,"association;expression;statistical;composite","MSigDB Curated",4.78028008925223e-26,5.39963806932649e-19,1,-2.6797167169092,0.915117805212813,5.69810650564833,5.90707375078348e-07,1.27955863031538e-06,1.14343172134994e-05,2.48783084853877e-06,-2.9226575629981,-2.74142244281394,-2.37576563832669,-2.67902122349808,5.21443871931775,"parity","High","Downregulation"
"358_CA3_do","R-MMU-5607764","CLEC7A (Dectin-1) signaling",4,"association;expression;statistical;composite","Reactome Pathways",1.2545672988609e-22,2.09976612609317e-18,1,-2.69455962478975,0.940042246637975,5.5097259158679,2.54127185487335e-06,1.94508997727257e-06,7.48864843153947e-06,2.45253270723601e-06,-2.8789600548836,-2.6916374027474,-2.48586824175389,-2.72177279977412,5.17937512831194,"parity","High","Downregulation"
"358_CA3_do","R-MMU-69002","DNA Replication Pre-Initiation",4,"association;expression;statistical;composite","Reactome Pathways",1.90508293906173e-22,3.31505191589611e-18,1,-2.63582529929642,0.939728109739473,5.47709861954187,1.79698876499216e-06,4.29856622260199e-06,4.37805757524967e-06,4.3594579861305e-06,-2.81220748396178,-2.58961065464846,-2.44036289278217,-2.70112016579328,5.14698353259875,"parity","High","Downregulation"
"358_CA3_do","R-MMU-69206","G1/S Transition",4,"association;expression;statistical;composite","Reactome Pathways",2.10388301587881e-22,3.48831458716846e-18,1,-2.62668527630007,0.941538730697812,5.46166385238045,2.63820001050122e-06,3.15543776085605e-06,4.53644631837245e-06,4.12097441700117e-06,-2.79362270936374,-2.59309901307135,-2.43184169656822,-2.68817768619699,5.14236805106841,"parity","High","Downregulation"
"358_CA3_do","REACTOME_HIV_INFECTION","REACTOME_HIV_INFECTION",4,"association;expression;statistical;composite","MSigDB Curated",1.86018775038231e-25,1.73824378186669e-18,1,-2.43630473536333,0.917381435108843,5.54599797140725,1.19849327896099e-06,3.0149909831177e-06,9.11650466620005e-06,2.25508942465317e-06,-2.66731140762809,-2.45411867360062,-2.17604786285764,-2.44774099736695,5.08779557812031,"parity","High","Downregulation"
"358_CA3_do","WONG_MITOCHONDRIA_GENE_MODULE","WONG_MITOCHONDRIA_GENE_MODULE",4,"association;expression;statistical;composite","MSigDB Curated",2.78150199709432e-25,2.27543590251543e-18,1,-2.43436479862608,0.913167175316649,5.53907462489213,9.35567428756238e-07,3.10276665034173e-06,6.37394081318813e-06,5.34340150503505e-06,-2.6719866730143,-2.46607083566143,-2.1577326266989,-2.44166905912967,5.05810112908087,"parity","High","Downregulation"
"358_CA3_do","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",4,"association;expression;statistical;composite","MSigDB Curated",1.35946572596245e-25,1.20521457861609e-18,1,-2.3158074610332,0.89643701313353,5.63636745604926,2.14879238190798e-07,2.61492772909047e-06,2.41065125571817e-05,3.71859122670172e-06,-2.59899100223276,-2.34353953383881,-2.01327487946906,-2.30742442859218,5.05264840722383,"parity","High","Downregulation"
"358_CA3_do","R-MMU-4608870","Asymmetric localization of PCP proteins",4,"association;expression;statistical;composite","Reactome Pathways",1.78525430731741e-21,2.17057950197048e-17,1,-2.71916205804529,0.960106013814557,5.26111344504447,2.89530188615717e-06,7.27566963075295e-06,7.02703130811835e-06,7.34659198974356e-06,-2.8305095972392,-2.69468673974987,-2.57946617573379,-2.77198571945829,5.05122665794782,"parity","High","Downregulation"
