"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"376_Astro","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",2,"statistical;composite","MSigDB Curated",6.64993897296782e-10,0.00434828914017386,0.353553390593274,1.15926188907991,0.991084550113972,1.64250145106803,NA,NA,0.0251107082069622,0.0201626695886183,NA,NA,1.16657008528684,1.15195369287298,0.575534648727913,"parity","Method-Specific","Upregulation"
"376_Astro","R-MMU-450531","Regulation of mRNA stability by proteins that bind AU-rich elements",2,"statistical;composite","Reactome Pathways",2.38470803721209e-08,0.00472807807681948,0.353553390593274,1.14379057071885,0.988874424199678,1.64135544887113,NA,NA,0.0175961596793597,0.0316357308526586,NA,NA,1.15278874479833,1.13479239663936,0.573850537002997,"parity","Method-Specific","Upregulation"
"376_Astro","GO:0030312","external encapsulating structure",1,"association","GO Cellular Component",0.000119032666996162,0.0285083237455807,0.125,1.08753296990655,NA,1.54502831792192,0.0285083237455807,NA,NA,NA,1.08753296990655,NA,NA,NA,NA,"parity","Method-Specific","Upregulation"
"376_Astro","GO:0031012","extracellular matrix",1,"association","GO Cellular Component",7.95286715877051e-05,0.0285083237455807,0.125,1.08775017676474,NA,1.54502831792192,0.0285083237455807,NA,NA,NA,1.08775017676474,NA,NA,NA,NA,"parity","Method-Specific","Upregulation"
