"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"358_CA3_do","R-MMU-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.54740544605094,0.959810055429218,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.68050442644795,-3.49570408163645,-3.37018279832211,-3.64323047779724,7.88193382467379,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-75815","Ubiquitin-dependent degradation of Cyclin D",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.42464904298171,0.957408911677939,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.55938468417294,-3.37010580327216,-3.24405199527652,-3.52505368920523,7.86221569810901,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-8939902","Regulation of RUNX2 expression and activity",4,"association;expression;statistical;composite","Reactome Pathways",1.6474389095435e-35,1.0730476274345e-28,1,-3.37817666844777,0.956613653582573,8.20661582663604,6.13846153846154e-09,8.33105622086146e-09,5.61428571428572e-09,4.98125e-09,-3.5246405734661,-3.31823838557321,-3.20138885238272,-3.46843886236906,7.85056074946687,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.45062255316572,0.955561496815972,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.60673700158897,-3.39459681100638,-3.26270055578925,-3.53845584427826,7.84704477798123,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-349425","Autodegradation of the E3 ubiquitin ligase COP1",4,"association;expression;statistical;composite","Reactome Pathways",3.18163391762462e-35,1.45400122114907e-28,1,-3.34293995200892,0.958723536155826,8.17228292069684,6.13846153846154e-09,1.14296172981781e-08,5.61428571428572e-09,4.98125e-09,-3.47485034779008,-3.28558218268625,-3.17595225460194,-3.43537502295741,7.83495998019634,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-9759194","Nuclear events mediated by NFE2L2",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.44179340534462,0.953066140767901,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.61392086531079,-3.38285518448081,-3.24596008361181,-3.52443748797507,7.82655298262169,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-187577","SCF(Skp2)-mediated degradation of p27/p21",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.42523870098988,0.952226024430177,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.60249377110347,-3.37645476240904,-3.22265598678307,-3.49935028366395,7.81965397032075,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)",4,"association;expression;statistical;composite","Reactome Pathways",9.29245112291682e-35,3.4895268492185e-28,1,-3.31316383296994,0.965033447112946,8.07325787888232,8.88937824844073e-09,1.01724328704197e-08,7.50534639671299e-09,7.19298342086822e-09,-3.41681253853424,-3.26726488406224,-3.17082893920773,-3.39774897007557,7.79096388028955,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-5607761","Dectin-1 mediated noncanonical NF-kB signaling",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.33795169981168,0.947788499629005,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.53869723566225,-3.32203222725161,-3.11614099579596,-3.37493634053689,7.78321313848081,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-5676590","NIK-->noncanonical NF-kB signaling",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.33795169981168,0.947788499629005,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.53869723566225,-3.32203222725161,-3.11614099579596,-3.37493634053689,7.78321313848081,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-5610780","Degradation of GLI1 by the proteasome",4,"association;expression;statistical;composite","Reactome Pathways",4.32596433508833e-35,1.8251969687678e-28,1,-3.30753196474113,0.955907433813284,8.14144567582029,7.77768509433928e-09,1.14296172981781e-08,5.61428571428572e-09,4.98125e-09,-3.45209766847918,-3.24692573307651,-3.13193172807919,-3.39917272932966,7.78246844350363,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-8878166","Transcriptional regulation by RUNX2",4,"association;expression;statistical;composite","Reactome Pathways",2.83379148047966e-35,1.45218503630463e-28,1,-3.28796387930134,0.950408602629558,8.17242417528965,6.13846153846154e-09,1.14147570019084e-08,5.61428571428572e-09,4.98125e-09,-3.43686725593384,-3.22885135350816,-3.08485519252043,-3.40128171524294,7.76714224053306,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-1236975","Antigen processing-Cross presentation",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.29810676046118,0.944165783718682,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.49121339550713,-3.28041154272794,-3.05428768525106,-3.36651441835859,7.75346349488284,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.20252121053841,0.937300245280071,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-3.4263872953644,-3.1823375397024,-2.94305375501561,-3.25830625207123,7.69708388171064,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint",4,"association;expression;statistical;composite","Reactome Pathways",1.34554051798885e-35,1.02336470232195e-28,1,-3.7397272508562,0.934537543183938,8.2119725461191,6.13846153846154e-09,7.93e-09,5.61428571428572e-09,4.98125e-09,-4.00004405470125,-3.72534799226912,-3.41478792165053,-3.81872903480391,7.67439664794409,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-8941858","Regulation of RUNX3 expression and activity",4,"association;expression;statistical;composite","Reactome Pathways",7.35631336153073e-34,1.15705894945052e-27,1,-3.26984975189575,0.961399708090086,7.91470224964571,1.77301161589762e-08,2.0900406732918e-08,9.21959185499122e-09,4.98125e-09,-3.39480088555113,-3.20971229277081,-3.12241545306338,-3.35247037619768,7.60919243242934,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",4,"association;expression;statistical;composite","Reactome Pathways",6.36824437242302e-34,1.1733005016075e-27,1,-3.20173148875419,0.954593271949724,7.9153983612427,1.59677823820555e-08,2.68698034753195e-08,8.07937689094105e-09,4.98125e-09,-3.33109782007125,-3.15509516643262,-3.01706002402288,-3.30367294449,7.55598602044416,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-68949","Orc1 removal from chromatin",4,"association;expression;statistical;composite","Reactome Pathways",8.12399270286368e-34,1.21800020474834e-27,1,-3.19563891664883,0.949793067550213,7.92846187604806,1.17865182985238e-08,2.02622274957541e-08,9.21959185499122e-09,8.15386870788187e-09,-3.35518336899946,-3.14181111555621,-2.99566453786182,-3.28989664417781,7.53039812620661,"parity","Ultra-High","Downregulation"
"358_CA3_do","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",4,"association;expression;statistical;composite","MSigDB Hallmark",3.71330171137961e-35,1.22663809131071e-28,1,-2.83619388329006,0.913424755019065,8.19559667666654,5e-09,5e-09,1.34190700431074e-08,4.9e-09,-3.10033416465304,-2.85103990151922,-2.50700520013848,-2.8863962668495,7.48606088661919,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS","REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.42369434811576,0.959899483104328,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.56183766494029,-3.46424465718592,-3.23471412790753,-3.4339809424293,7.41581460207425,"parity","Ultra-High","Downregulation"
"358_CA3_do","NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON","NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.55470983823827,0.957988987276122,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.70587427328382,-3.62077512551242,-3.35638729626828,-3.53580265788856,7.40105484533994,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-5358346","Hedgehog ligand biogenesis",4,"association;expression;statistical;composite","Reactome Pathways",4.84758048178147e-33,4.28506121298764e-27,1,-3.15803994675398,0.950800599359951,7.78094371861632,1.82667802194126e-08,3.96485099673966e-08,9.21959185499122e-09,9.97964732449962e-09,-3.31003278897329,-3.10051027543994,-2.96667327230427,-3.25494345029843,7.39812595124645,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-174143","APC/C-mediated degradation of cell cycle proteins",4,"association;expression;statistical;composite","Reactome Pathways",6.87036089462192e-34,1.33103660840266e-27,1,-3.10809623678565,0.933841282887193,7.91822411692782,1.04915357471084e-08,8.33105622086146e-09,3.13234321307475e-08,7.19298342086822e-09,-3.33844733641551,-3.11286278113578,-2.83867599340976,-3.14239883618153,7.39436456754019,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-453276","Regulation of mitotic cell cycle",4,"association;expression;statistical;composite","Reactome Pathways",6.87036089462192e-34,1.33103660840266e-27,1,-3.10809623678565,0.933841282887193,7.91822411692782,1.04915357471084e-08,8.33105622086146e-09,3.13234321307475e-08,7.19298342086822e-09,-3.33844733641551,-3.11286278113578,-2.83867599340976,-3.14239883618153,7.39436456754019,"parity","Ultra-High","Downregulation"
"358_CA3_do","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.44820890705512,0.955887902805739,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.59884225342269,-3.50014039321897,-3.23851343433963,-3.45533954723921,7.38482267398251,"parity","Ultra-High","Downregulation"
"358_CA3_do","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.55722431469813,0.954182912583898,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.71638147034244,-3.60858291995458,-3.33038938580588,-3.57354348268964,7.37165057460536,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21","REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.44383604407781,0.954141065603219,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.59292927472629,-3.50554591578391,-3.22317296079662,-3.45369602500441,7.37132728091073,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D","REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.56208096597185,0.953883701645052,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.73198639637667,-3.60510727864794,-3.33821652025104,-3.57301366861175,7.36933898585211,"parity","Ultra-High","Downregulation"
"358_CA3_do","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.50568426985359,0.953259918583826,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.66591479937074,-3.56491896474678,-3.27915842826965,-3.5127448870272,7.36451987758568,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1","REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.55576462638802,0.952666318701946,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.73296898504446,-3.59038673798387,-3.32748530469438,-3.57221747782935,7.35993395296616,"parity","Ultra-High","Downregulation"
"358_CA3_do","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.51929318899921,0.952208795818333,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.69207882425846,-3.56632481200437,-3.28972194125844,-3.52904717847557,7.35639930695291,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES","REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",4,"association;expression;statistical;composite","MSigDB Curated",1.946029042713e-35,1.10366106776461e-26,1,-3.42726893850558,0.955445439578483,7.69917762052126,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.73220160748059e-08,-3.58920321835137,-3.4579031428728,-3.22087144295351,-3.44109794984464,7.35614414603176,"parity","Ultra-High","Downregulation"
"358_CA3_do","R-MMU-5610785","GLI3 is processed to GLI3R by the proteasome",4,"association;expression;statistical;composite","Reactome Pathways",1.47812714774185e-32,1.20691548189728e-26,1,-3.20874844396801,0.958147907561386,7.66968249062073,1.82931936190809e-08,3.96485099673966e-08,2.05067814595269e-08,1.31976857427925e-08,-3.33990788436787,-3.147520977067,-3.04987343908081,-3.29769147535635,7.34869023004845,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT","REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.97529190292605,0.95092225730945,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-4.1736433655112,-3.95737323801393,-3.71441827287153,-4.05573273530755,7.34646000473613,"parity","Ultra-High","Downregulation"
"358_CA3_do","REACTOME_PROTEASOME_ASSEMBLY","REACTOME_PROTEASOME_ASSEMBLY",4,"association;expression;statistical;composite","MSigDB Curated",1.34554051798885e-35,8.24431201864075e-27,1,-3.45477164789385,0.950841912393464,7.72561578853174,1.55266666666667e-08,1.91668531162278e-08,2.19904761904762e-08,2.01521739130435e-08,-3.62374593429146,-3.47733609785975,-3.21914217841615,-3.49886238100803,7.34583929078465,"parity","Ultra-High","Downregulation"
