"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"78_Sst_HPF","JAATINEN_HEMATOPOIETIC_STEM_CELL_DN","JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",1,"association","MSigDB Curated",0.000312150510348751,0.0478259174784337,0.125,-1.23586949172977,NA,1.32033668984224,0.0478259174784337,NA,NA,NA,-1.23586949172977,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","LINDGREN_BLADDER_CANCER_CLUSTER_2B","LINDGREN_BLADDER_CANCER_CLUSTER_2B",1,"association","MSigDB Curated",2.22004772863684e-05,0.00634933650390136,0.125,-1.18345987648921,NA,2.197271655456,0.00634933650390136,NA,NA,NA,-1.18345987648921,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED","MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED",1,"association","MSigDB Curated",0.000125834333614197,0.0245376950547685,0.125,-1.16123873414089,NA,1.61016623508942,0.0245376950547685,NA,NA,NA,-1.16123873414089,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","MIKKELSEN_NPC_HCP_WITH_H3K27ME3","MIKKELSEN_NPC_HCP_WITH_H3K27ME3",1,"composite","MSigDB Curated",7.72725774371257e-05,0.0217135942598323,0.125,-1.16638043165361,NA,1.66326828165793,NA,NA,NA,0.0217135942598323,NA,NA,NA,-1.16638043165361,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",1,"association","MSigDB Curated",5.41615271953258e-05,0.0122291027193657,0.125,-1.2318700637857,NA,1.91260540709486,0.0122291027193657,NA,NA,NA,-1.2318700637857,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","R-MMU-418594","G alpha (i) signalling events",1,"association","Reactome Pathways",0.000200653101527902,0.0200079806952108,0.125,-1.20939731740023,NA,1.69879674030831,0.0200079806952108,NA,NA,NA,-1.20939731740023,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS","REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",1,"association","MSigDB Curated",0.000275695666483964,0.0438049781191188,0.125,-1.19139686480073,NA,1.35847653226273,0.0438049781191188,NA,NA,NA,-1.19139686480073,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","SABATES_COLORECTAL_ADENOMA_DN","SABATES_COLORECTAL_ADENOMA_DN",1,"association","MSigDB Curated",7.50164844571844e-05,0.0160910359160661,0.125,-1.21617406468482,NA,1.79341599579226,0.0160910359160661,NA,NA,NA,-1.21617406468482,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","SMID_BREAST_CANCER_LUMINAL_B_DN","SMID_BREAST_CANCER_LUMINAL_B_DN",1,"association","MSigDB Curated",0.000148506620004731,0.0265455583258456,0.125,-1.17291830286682,NA,1.57600813582353,0.0265455583258456,NA,NA,NA,-1.17291830286682,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP","VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP",1,"association","MSigDB Curated",0.000205187587184575,0.0338559518854549,0.125,-1.22587111463863,NA,1.47036497118013,0.0338559518854549,NA,NA,NA,-1.22587111463863,NA,NA,NA,NA,"parity","Method-Specific","Downregulation"
