"reference","dataset","dataset_label","sex","technology","n_ref_cells","n_detected_celltypes","types_per_k_cells","entropy_per_k_cells","sparsity_per_k_cells","mean_prop_per_k_cells","detected_per_sample_per_k","diversity_index"
"mouse10x_2020_female","mouse10x_2020","Mouse 10x 2020","female","10X Genomics",22307,67,3.00354148921863,0.136409653601698,3.58074245261789,0.00332476965026138,0.529729083546271,0.501623046967339
"mouse10x_2020_male","mouse10x_2020","Mouse 10x 2020","male","10X Genomics",59108,73,1.23502740745754,0.0484864170328452,1.40637229954115,0.00137360083873899,0.173693352281699,0.463007490877249
"mouse10x_2020_mixed","mouse10x_2020","Mouse 10x 2020","mixed","10X Genomics",81964,95,1.15904543458104,0.0371325615621522,1.00643243460758,0.000733495686898662,0.144372326061848,0.463257255155025
"yao_hippo_10x_female","yao_hippo_10x","Yao Hippo 10x","female","10X Genomics",26314,51,1.93813179296192,0.0962435046452756,3.20041370656342,0.00472081791002782,0.289453016138431,0.446467150919887
"yao_hippo_10x_male","yao_hippo_10x","Yao Hippo 10x","male","10X Genomics",62272,48,0.770811921891059,0.0364537377142593,1.40233795106772,0.0026397668557913,0.0926044878383008,0.406457009272531
"yao_hippo_10x_mixed","yao_hippo_10x","Yao Hippo 10x","mixed","10X Genomics",88674,55,0.620249453052755,0.0303277636632328,0.974628892620638,0.00151034769412197,0.0821360639345618,0.465164640903128
"mouse_smartseq_2019_female","mouse_smartseq_2019","Mouse Smart-seq","female","Smart-seq2",3693,34,9.20660709450311,0.405300661371271,22.4059296071529,0.0461561184550624,1.30878238108133,0.294208604396655
"mouse_smartseq_2019_male","mouse_smartseq_2019","Mouse Smart-seq","male","Smart-seq2",1849,20,10.8166576527853,1.07749237073694,37.9935100054083,0.090896282796515,3.01063638002524,0.460970971694181
"mouse_smartseq_2019_mixed","mouse_smartseq_2019","Mouse Smart-seq","mixed","Smart-seq2",5869,48,8.17856534332936,0.264026188732278,15.1040779235531,0.0312636289882621,0.769580280570228,0.277453913337762
