"gene_id","external_gene_name","gene_index","age_pval","age_fdr","age_significant","age_fstat","parity_pval","parity_fdr","parity_significant","parity_fstat","region_pval","region_fdr","region_significant","region_fstat","age_parity_pval","age_parity_fdr","age_parity_significant","age_parity_fstat","age_region_pval","age_region_fdr","age_region_significant","age_region_fstat","parity_region_pval","parity_region_fdr","parity_region_significant","parity_region_fstat","age_parity_region_pval","age_parity_region_fdr","age_parity_region_significant","age_parity_region_fstat","model_rsquared","residual_se"
"ENSRNOG00000018279","Sfxn1",7087,1.04423020579608e-07,4.81916860462527e-07,TRUE,39.0464348283582,0.908792753805709,0.962179907245071,FALSE,0.0958290133257778,3.42250360134932e-13,5.61416187083723e-12,TRUE,98.1726835421601,0.0714431372843149,0.53496734604665,FALSE,2.78939382887873,1.68350722605327e-09,2.10707764412828e-05,TRUE,55.0339084251413,0.195335454096601,0.995845833788686,FALSE,1.68987731171435,0.613955844686169,0.999622044844042,FALSE,0.492823954524216,0.808298192171697,4.79752636074124
"ENSRNOG00000016368","Ppp1r14c",6295,0.839274194805195,0.87093572856163,FALSE,0.0415854346848315,0.0799496093560991,0.430016893296492,FALSE,2.66411828847332,0.000137354664141017,0.000506520617675004,TRUE,17.1809317876817,0.0225842027708822,0.494231849786002,FALSE,4.1062373768037,5.79964913513791e-08,0.000163424449407239,TRUE,41.1565992944917,0.852160283634025,0.998542082781861,FALSE,0.160515034545334,0.0269290676672662,0.999622044844042,FALSE,3.9009304687183,0.625125111137679,0.859270632134491
"ENSRNOG00000012995","Gpr165",4998,1.34558446488689e-06,4.91430848045647e-06,TRUE,30.4677060197136,0.0708764820963782,0.416760590399034,FALSE,2.79828399922421,1.43119068970068e-25,3.51231032790073e-23,TRUE,428.578843048118,0.828760857425078,0.938304749644152,FALSE,0.188560510069784,6.04929380050097e-08,0.000163424449407239,TRUE,41.0036066708712,0.894818090415651,0.998542082781861,FALSE,0.111392541406508,0.441935885355586,0.999622044844042,FALSE,0.830641453109165,0.913654763856718,0.772338518064837
"ENSRNOG00000014686","Kcnd3",5681,1.67070070818647e-11,1.77207542912389e-10,TRUE,76.5276472116898,0.137117185581241,0.506390880712546,FALSE,2.07148365031779,2.17340518256442e-25,5.23121908941852e-23,TRUE,420.372743907814,0.534032569141479,0.814434424623765,FALSE,0.635568331313297,6.30202759445163e-08,0.000163424449407239,TRUE,40.8552848004236,0.880888785092871,0.998542082781861,FALSE,0.127159578768442,0.518692820388334,0.999622044844042,FALSE,0.665503310044146,0.919022207414833,6.55620787217756
"ENSRNOG00000002827","Rbfox1",1079,0.00414735844014523,0.0076572264695173,TRUE,9.06430383996697,0.469227825501093,0.755642751411693,FALSE,0.768721224112612,1.57428900078019e-09,1.41753964991114e-08,TRUE,55.3174813556679,0.22951177514993,0.654194802499777,FALSE,1.51786690198524,6.52862134097312e-08,0.000163424449407239,TRUE,40.7274840890057,0.0775444320401088,0.995845833788686,FALSE,2.69807605492919,0.100835338635128,0.999622044844042,FALSE,2.40750536322399,0.714104661487051,19.0895777229979
"ENSRNOG00000000387","Dna2",104,0.000303685676297262,0.00069998709475811,TRUE,15.168416642154,0.927968053133467,0.971671570021872,FALSE,0.0748745256615573,0.691974164800762,0.769228940993546,FALSE,0.158861767059377,0.963596963205711,0.98700382969003,FALSE,0.0371108221526242,1.03021629811684e-07,0.000214903119787173,TRUE,39.09432501194,0.872911022725638,0.998542082781861,FALSE,0.136307266713568,0.215253832863463,0.999622044844042,FALSE,1.58615075757045,0.54755605403285,1.5009446807638
"ENSRNOG00000060863",NA,12397,1.30075924790864e-06,4.76310788379888e-06,TRUE,30.575344404639,0.868588082801964,0.944275809329845,FALSE,0.141300608986012,4.57971659800289e-09,3.78848201854621e-08,TRUE,50.8970757902608,0.104234799215598,0.559435140215448,FALSE,2.3710473046899,2.65925342339937e-07,0.000475474512103807,TRUE,35.7994730600894,0.134360063560042,0.995845833788686,FALSE,2.09355890780106,0.0733261473164204,0.999622044844042,FALSE,2.76037051633927,0.733339922697352,4.5199723008919
"ENSRNOG00000054782","Ppp3cb",11828,0.00534182408830702,0.00964405826938104,TRUE,8.51665505910611,0.725578170590197,0.88176875260772,FALSE,0.32293988125354,7.93085902668546e-06,3.77855468511592e-05,TRUE,25.0480455995387,0.441911281785518,0.774540151908105,FALSE,0.830699053860958,4.37922161479031e-07,0.000685129221633944,TRUE,34.1192878392371,0.197874344419761,0.995845833788686,FALSE,1.67605789885826,0.113458562290134,0.999622044844042,FALSE,2.27804317671278,0.618743426286508,21.9271599717746
"ENSRNOG00000051650","Ywhaq",11525,0.980819695036982,0.984516745776154,FALSE,0.000584037553072949,0.1722007238961,0.537204451715751,FALSE,1.82516576625838,0.0610028105751179,0.108979238435887,FALSE,3.68072821947995,0.773545376472757,0.917068518386444,FALSE,0.258149427647481,5.61327520730498e-07,0.000691825759414454,TRUE,33.2964017321402,0.153128675326208,0.995845833788686,FALSE,1.95178411680644,0.0695065947751293,0.999622044844042,FALSE,2.820085491041,0.51361908902687,21.0315640836684
"ENSRNOG00000007256",NA,2716,8.9044241414487e-05,0.00022795617213003,TRUE,18.3121360788815,0.141614684767933,0.508706923644397,FALSE,2.03644763691095,5.7713531913975e-21,4.69053613919033e-19,TRUE,258.752780283303,0.415216681095001,0.760582791848541,FALSE,0.895248098562776,5.97387040467242e-07,0.000691825759414454,TRUE,33.0914105408991,0.194290940757559,0.995845833788686,FALSE,1.69561710110095,0.221870322227055,0.999622044844042,FALSE,1.55389510763242,0.8704518976871,13.4786869003942
"ENSRNOG00000056558","Gabra3",11982,1.72164137036734e-12,2.38627501567194e-11,TRUE,88.749298964275,0.635182054241374,0.838532318366539,FALSE,0.45816192424158,1.63751820509629e-26,5.2526382490122e-24,TRUE,473.532386176376,0.550832914769885,0.820155217851521,FALSE,0.603793872489725,6.77705663101815e-07,0.000691825759414454,TRUE,32.6777554187895,0.721679826725736,0.995845833788686,FALSE,0.328400210124681,0.555800748700793,0.999622044844042,FALSE,0.594591374912849,0.925803333719538,2.96677394511744
"ENSRNOG00000001068","Rac1",386,0.0131497554878261,0.0219209296331421,TRUE,6.63248318551382,0.623975569747491,0.833660155375295,FALSE,0.476308905762393,0.0892154337497934,0.150325843943513,FALSE,3.00911611336344,0.0229830580016122,0.494231849786002,FALSE,4.08574291405051,7.00634526082575e-07,0.000691825759414454,TRUE,32.569022396017,0.0112979293340831,0.995845833788686,FALSE,4.92919104107474,0.0503812183688158,0.999622044844042,FALSE,3.18212345676093,0.58462185052415,12.5757154170124
"ENSRNOG00000017444","Nrsn1",6735,1.53821465371954e-05,4.55567785280497e-05,TRUE,23.1299483057228,0.0397720851716469,0.349569816017088,FALSE,3.45125116266891,7.87193511391361e-17,2.66284161853359e-15,TRUE,158.687895855244,0.0685237202700973,0.53496734604665,FALSE,2.83600533127999,7.18579008659948e-07,0.000691825759414454,TRUE,32.4864845634297,0.264750456966248,0.995845833788686,FALSE,1.36645112282477,0.205786993801043,0.999622044844042,FALSE,1.63414450865641,0.829108536154905,9.26747952622611
"ENSRNOG00000012767","Micu3",4906,0.102521329814147,0.140327751963459,FALSE,2.77067163599223,0.0325263635402033,0.330170288782793,FALSE,3.68225269351051,0.206520119723794,0.299375239571809,FALSE,1.6396985375001,0.151279552473541,0.602140623686589,FALSE,1.96492457842952,8.03999383370401e-07,0.000713187213760865,TRUE,32.1209775602525,0.125452497355433,0.995845833788686,FALSE,2.1682453936149,0.144943316498348,0.999622044844042,FALSE,2.01125561427559,0.539279778874046,3.79995304069311
"ENSRNOG00000048980","Gng2",11232,0.661506485971864,0.715655214661929,FALSE,0.194096621018473,0.499966262896626,0.772063879878367,FALSE,0.703323133236559,0.349600315363839,0.457315772269514,FALSE,0.89224503785891,0.412923692784967,0.759790649672306,FALSE,0.900993022856556,8.54730601343319e-07,0.000713187213760865,TRUE,31.9226122165486,0.177896118099835,0.995845833788686,FALSE,1.79017597022743,0.134667202278516,0.999622044844042,FALSE,2.09107651861669,0.478147940582733,19.7400841969935
"ENSRNOG00000008203","Synpr",3101,0.28860397826427,0.350457688168779,FALSE,1.15148414792247,0.551309025111873,0.79780133637417,FALSE,0.602908179657238,1.81464392306838e-18,8.28908151135905e-17,TRUE,193.639141328588,0.214797106659082,0.643509949865089,FALSE,1.58841529299495,1.00983550806935e-06,0.000789943826187248,TRUE,31.3846576831102,0.0956034761629407,0.995845833788686,FALSE,2.46619481030323,0.858934738030034,0.999622044844042,FALSE,0.152545081448124,0.830864072047991,5.21314307147863
"ENSRNOG00000000411","Nus1",113,0.00138009514421579,0.00280957560588888,TRUE,11.5349355583596,0.0761625531675986,0.423709855248996,FALSE,2.71808616574963,0.399187535498759,0.509455612756446,FALSE,0.723604948728944,0.0331356208881075,0.499860409402912,FALSE,3.66085576080066,1.20273049078938e-06,0.000885492636630579,TRUE,30.8248815070884,0.116707712957949,0.995845833788686,FALSE,2.24714638761099,0.0795843700068794,0.999622044844042,FALSE,2.6692058834652,0.577739891228311,3.82893159409978
"ENSRNOG00000017091","Slc25a46",6601,0.0938976042475705,0.129758464697206,FALSE,2.92090961085683,0.260165877153954,0.612648829772384,FALSE,1.38492070278615,0.868189051639106,0.906957196420586,FALSE,0.0278388937846995,0.193138600315084,0.633428072359054,FALSE,1.7019868304893,1.38211879488722e-06,0.000887754441038451,TRUE,30.3827080396788,0.319595396405705,0.995845833788686,FALSE,1.16824233356152,0.104287060541011,0.999622044844042,FALSE,2.37049653448804,0.492507879804643,6.24160430771326
"ENSRNOG00000026120","Fam8a1",9264,0.00118528883612693,0.00244279187764938,TRUE,11.8879333321324,0.624330009335424,0.833775417851907,FALSE,0.475729769358994,0.76878736525932,0.830210756133361,FALSE,0.0873974384457544,0.392682613238767,0.749106846840065,FALSE,0.953195664356967,1.42466345416446e-06,0.000887754441038451,TRUE,30.2866329614515,0.460173224298653,0.995845833788686,FALSE,0.788838934906793,0.767409108232118,0.999622044844042,FALSE,0.266200714549909,0.4959565947724,1.58963225163438
"ENSRNOG00000005345","Vsnl1",2072,0.000130056356678506,0.000321887553922915,TRUE,17.3221831300836,0.304581237776804,0.645141102050174,FALSE,1.21875314577808,1.14751644721139e-11,1.44490099127744e-10,TRUE,78.4683668750186,0.626424296581519,0.851108218486806,FALSE,0.47231478474455,1.46895635223225e-06,0.000887754441038451,TRUE,30.1897395834181,0.358234855944391,0.995845833788686,FALSE,1.04883786674424,0.0610629696298909,0.999622044844042,FALSE,2.96521133412628,0.741087090090437,16.0066284936447
"ENSRNOG00000052406",NA,11604,0.0140850287212615,0.0233649064910947,TRUE,6.49307643442235,0.0177486751678015,0.294208083051239,FALSE,4.38982142863695,0.0103501308675565,0.0239711575647804,TRUE,7.12308146152885,0.0825072783305874,0.543639487072001,FALSE,2.62915573128582,1.48952087422559e-06,0.000887754441038451,TRUE,30.1457848404351,0.221841538735652,0.995845833788686,FALSE,1.55403324763835,0.0479954555908214,0.999622044844042,FALSE,3.23712329617756,0.583991328124574,0.561248815969861
"ENSRNOG00000009381","Mapk6",3554,7.06400201913535e-06,2.22534732623957e-05,TRUE,25.3889920398424,0.216127533682346,0.575205732789594,FALSE,1.58183269418041,2.23329103449661e-05,9.65188901511034e-05,TRUE,22.0749020214111,0.0498054328863511,0.517861632978342,FALSE,3.19514497936873,1.57740391685899e-06,0.000897399428336687,TRUE,29.9648181986814,0.192133182074167,0.995845833788686,FALSE,1.7075768486461,0.00311303841860422,0.999622044844042,FALSE,6.5254368854263,0.683060986585766,2.22968544912627
"ENSRNOG00000012019","B3galnt1",4626,0.719221169577526,0.767741761913204,FALSE,0.13077085236169,0.139807205661175,0.508079844963784,FALSE,2.05038684475974,9.75954836905967e-09,7.66795401049283e-08,TRUE,47.8836727699331,0.0198480523386185,0.494231849786002,FALSE,4.25788560681775,1.96109560448165e-06,0.00102459024208567,TRUE,29.2815975448261,0.0314391115724825,0.995845833788686,FALSE,3.72149497335439,0.0308811100534754,0.999622044844042,FALSE,3.74218759123883,0.685945987136844,2.54612263389563
"ENSRNOG00000015540","Ppp6r3",5985,7.05872008505621e-06,2.22480333882054e-05,TRUE,25.391200981713,0.344396219069654,0.671931882658274,FALSE,1.08998929919118,3.95213637207643e-05,0.000163466420465659,TRUE,20.493496347684,0.0711275554533781,0.53496734604665,FALSE,2.79433584476687,1.96469845078748e-06,0.00102459024208567,TRUE,29.2758651934092,0.0915121553774147,0.995845833788686,FALSE,2.51447052734159,0.393526504985814,0.999622044844042,FALSE,0.95096376640853,0.651820893233428,3.54577237749865
"ENSRNOG00000021202","Rtn3",8359,2.15866164325323e-07,9.30685812158368e-07,TRUE,36.5126861866,0.562928275401644,0.80322742953052,FALSE,0.581536794919125,0.820655276540557,0.870893796946042,FALSE,0.0519600766773584,0.140009396206795,0.59501035301958,FALSE,2.04881826250699,2.14808265209027e-06,0.00107541609894247,TRUE,28.9977213573349,0.278797688905552,0.995845833788686,FALSE,1.3118677661015,0.175393416437698,0.999622044844042,FALSE,1.80540551182163,0.616176940254452,60.5970067684763
"ENSRNOG00000010199","Glrb",3888,0.595701276882599,0.653925490351967,FALSE,0.28531913894909,0.0766506404876469,0.424251859076182,FALSE,2.7109755951376,0.00113896356875483,0.00340953552416538,TRUE,11.9808711960499,0.455841955763228,0.782023867438807,FALSE,0.798608521402432,2.50336749297532e-06,0.00120508259777227,TRUE,28.5231496128663,0.335679364146572,0.995845833788686,FALSE,1.11680428821576,0.135383846294814,0.999622044844042,FALSE,2.08530724199369,0.530391181049127,9.29722128456173
"ENSRNOG00000010945","Ywhab",4191,7.31540508642565e-05,0.000189878909294283,TRUE,18.8326240598933,0.807139350934253,0.918711905810578,FALSE,0.215218193981485,0.481375573827961,0.587221898833408,FALSE,0.503554372308973,0.0787940332297865,0.54140721323114,FALSE,2.68029862716711,2.89164216671116e-06,0.00134043679105766,TRUE,28.0789744998449,0.0583208873793357,0.995845833788686,FALSE,3.01688266097035,0.0426284796083904,0.999622044844042,FALSE,3.37203468017888,0.578888343551903,33.9656712232011
"ENSRNOG00000026403","Naf1",9299,5.95516576247138e-05,0.000157379338435582,TRUE,19.3823882755942,0.120176885061461,0.4878799524584,FALSE,2.2151312098089,0.0006962194140829,0.0021949325407208,TRUE,13.1437139495252,0.468124255148316,0.786357074076467,FALSE,0.771151419103457,3.0031620208914e-06,0.00134205233687903,TRUE,27.9628652468793,0.396640273134572,0.995845833788686,FALSE,0.942771491332984,0.0328042619733766,0.999622044844042,FALSE,3.67244165202782,0.611939204604403,1.79414096048397
"ENSRNOG00000011441","Tpd52",4391,2.41788735169314e-05,6.87310426840593e-05,TRUE,21.8524353362043,0.195238532146461,0.557744952459889,FALSE,1.69040856803877,0.0280771956194741,0.0567162976716168,FALSE,5.12937373309238,0.167411807765062,0.61305300222153,FALSE,1.85553259174447,3.10958115767753e-06,0.00134205233687903,TRUE,27.8561880954931,0.165581440506905,0.995845833788686,FALSE,1.86737878730108,0.0914755541891195,0.999622044844042,FALSE,2.51491248290225,0.595600340730422,4.1718713456378
"ENSRNOG00000006037","Snap25",2304,0.00169240684698459,0.00337295606637884,TRUE,11.0659873149479,0.179010987503978,0.542299439373443,FALSE,1.7834634323318,0.00909013079672234,0.0213977951949928,TRUE,7.39220766479032,0.837101342384935,0.941299651456897,FALSE,0.178470443316512,3.36826995504651e-06,0.00136838566672492,TRUE,27.6119943256763,0.681487966917867,0.995845833788686,FALSE,0.386556699918516,0.109275597275999,0.999622044844042,FALSE,2.31920552724141,0.535808422537815,114.822849446614
"ENSRNOG00000012751","Tm9sf2",4899,0.00824077128794224,0.014313279689132,TRUE,7.59701407327526,0.151248675664452,0.516849209203134,FALSE,1.96514541661827,0.00398230579686716,0.0103558153653832,TRUE,9.15290565138331,0.133729458049709,0.58920297842905,FALSE,2.09867423429948,3.47636315155722e-06,0.00136838566672492,TRUE,27.5157037121257,0.120576336913606,0.995845833788686,FALSE,2.21150683172183,0.339397439087931,0.999622044844042,FALSE,1.10527897279843,0.55151434411225,10.597526875221
"ENSRNOG00000001862","Ube2l3",745,0.134226157242766,0.178208824021477,FALSE,2.32067791687136,0.253202384845648,0.605759251898253,FALSE,1.41363279101163,0.598201843394652,0.690691353498843,FALSE,0.28144472511956,0.502602612453381,0.801074743433361,FALSE,0.697910403705321,3.55121974579132e-06,0.00136838566672492,TRUE,27.4508345168563,0.577788087067795,0.995845833788686,FALSE,0.554864998482832,0.184189949723266,0.999622044844042,FALSE,1.75284187973976,0.447586661693737,5.69561805500004
