"gene_id","external_gene_name","gene_index","age_pval","age_fdr","age_significant","age_fstat","parity_pval","parity_fdr","parity_significant","parity_fstat","region_pval","region_fdr","region_significant","region_fstat","age_parity_pval","age_parity_fdr","age_parity_significant","age_parity_fstat","age_region_pval","age_region_fdr","age_region_significant","age_region_fstat","parity_region_pval","parity_region_fdr","parity_region_significant","parity_region_fstat","age_parity_region_pval","age_parity_region_fdr","age_parity_region_significant","age_parity_region_fstat","model_rsquared","residual_se"
"ENSRNOG00000018129","Ndufab1",7023,4.85226478634539e-26,3.08295905210088e-22,TRUE,450.500159035305,0.372690132796055,0.692897768668311,FALSE,1.00758456620176,0.660739804899813,0.743287740259398,FALSE,0.195037521079634,0.731121436260748,0.899421652864116,FALSE,0.315227939367664,0.08210594412067,0.228732492307209,FALSE,3.15345439791162,0.920561901504458,0.998542082781861,FALSE,0.0829139271783486,0.126956875718602,0.999622044844042,FALSE,2.15525141185999,0.905691999943683,2.44820786611052
"ENSRNOG00000046313",NA,10928,4.92642865468341e-26,3.08295905210088e-22,TRUE,450.18585797129,0.502858166586758,0.773617809077923,FALSE,0.697387294755727,0.0341964445146622,0.0671392491315888,FALSE,4.75222597450148,0.122965626013633,0.579269060630476,FALSE,2.19008571766459,0.634201835634395,0.781474589506433,FALSE,0.229321366749217,0.502251709137518,0.995845833788686,FALSE,0.698629140153358,0.759796872752112,0.999622044844042,FALSE,0.276282302293259,0.906046711181141,20.9718737171988
"ENSRNOG00000000248","Srsf2",73,7.15914328259786e-25,2.50738884049235e-21,TRUE,397.728336187091,0.363335821632242,0.686371760859208,FALSE,1.03408558568886,0.661686427943783,0.744016919740092,FALSE,0.193876184090693,0.190185409904469,0.631562905376582,FALSE,1.71849347854203,0.0223634747346279,0.103525630553167,FALSE,5.5717499117021,0.878165382547465,0.998542082781861,FALSE,0.130272627647888,0.639086428449608,0.999622044844042,FALSE,0.451917692991174,0.895233906913753,3.10161370724639
"ENSRNOG00000039876","Hnrnpa0",10600,8.43231693117093e-25,2.50738884049235e-21,TRUE,394.706053058441,0.914513616842256,0.964609171447639,FALSE,0.0895294974233107,0.655468000414922,0.738685169565385,FALSE,0.201581391312818,0.560369290880792,0.824709535099616,FALSE,0.586203846504675,0.0796075666878036,0.224884023454397,FALSE,3.2075147975928,0.284440795605822,0.995845833788686,FALSE,1.29074250302438,0.234855669236296,0.999622044844042,FALSE,1.4934061312781,0.894047900943109,4.43172862427363
"ENSRNOG00000056585","Fscn1",11985,1.41213670791273e-24,2.50738884049235e-21,TRUE,385.319125585199,0.591151358851121,0.81645321156708,FALSE,0.531482594951853,0.312565108789268,0.417479053672752,FALSE,1.04160457172985,0.782330655622188,0.920354402271577,FALSE,0.246737488760026,0.0094512554082149,0.0597433902470796,FALSE,7.31121046563366,0.12677698138849,0.995845833788686,FALSE,2.15679677165583,0.276114646004412,0.999622044844042,FALSE,1.32206863266913,0.893377430437493,3.15102820189839
"ENSRNOG00000012199","Sox2",4694,1.42973270287187e-24,2.50738884049235e-21,TRUE,385.096151628874,0.636825410418043,0.839566188786777,FALSE,0.455528859880984,0.220852806797413,0.316646040184548,FALSE,1.53861784127894,0.52226675305902,0.808459043376844,FALSE,0.658447273544365,0.58949052941561,0.752710004709832,FALSE,0.295090734650723,0.233697847299141,0.995845833788686,FALSE,1.49865631850336,0.436170475198113,0.999622044844042,FALSE,0.844231308564837,0.891364271580673,2.18581341520819
"ENSRNOG00000011887","Bltp2",4568,1.53191588815499e-24,2.50738884049235e-21,TRUE,383.855298135359,0.672065461548002,0.856216214607885,FALSE,0.400707898347677,1.33957190910398e-14,2.84170881599075e-13,TRUE,119.10864011746,0.57376368088889,0.829325838078077,FALSE,0.562017198563246,0.0144065757208197,0.0782864640636445,FALSE,6.44741612681504,0.22401063878662,0.995845833788686,FALSE,1.54367509528918,0.88302299093298,0.999622044844042,FALSE,0.124727023520434,0.914692995640184,9.54144124841227
"ENSRNOG00000008296","Tpgs1",3134,1.60267743080368e-24,2.50738884049235e-21,TRUE,383.045534029881,0.646387601413127,0.843606592209249,FALSE,0.440346905869462,0.0391768354392057,0.0754365034395536,FALSE,4.49561906233464,0.541445648558522,0.816473944260055,FALSE,0.62142145599509,0.052311559348645,0.174174817762536,FALSE,3.95981433559505,0.280676125049709,0.995845833788686,FALSE,1.30478666987964,0.165191669375337,0.999622044844042,FALSE,1.86991901223454,0.892850904176562,3.29346026276753
"ENSRNOG00000043113","Fam43b",10770,1.85955863746187e-24,2.58602621183031e-21,TRUE,380.390380738697,0.696085147204538,0.867529510290069,FALSE,0.365031456709657,0.00116854368279756,0.00348724194894952,TRUE,11.9210799815367,0.904031886125333,0.96601558554918,FALSE,0.101103005302627,0.210783163051969,0.405933538814964,FALSE,1.60876225620602,0.372045924457469,0.995845833788686,FALSE,1.00938729427636,0.482261306532937,0.999622044844042,FALSE,0.740462130302113,0.892461600962713,0.768424151215417
"ENSRNOG00000021447","Prr7",8431,2.07817732736841e-24,2.6010467429343e-21,TRUE,378.415909268906,0.991785967000622,0.996936685276811,FALSE,0.00824937147646522,0.0925716568319762,0.155041731153354,FALSE,2.94538001734544,0.274092562337087,0.678169614409531,FALSE,1.32982501560096,0.0120868287945862,0.069521484004155,FALSE,6.80435058152614,0.174618952633892,0.995845833788686,FALSE,1.81016420740843,0.303766357310048,0.999622044844042,FALSE,1.22156834397447,0.892111860680468,3.45579416083517
