"gene_id","external_gene_name","gene_index","age_pval","age_fdr","age_significant","age_fstat","parity_pval","parity_fdr","parity_significant","parity_fstat","region_pval","region_fdr","region_significant","region_fstat","age_parity_pval","age_parity_fdr","age_parity_significant","age_parity_fstat","age_region_pval","age_region_fdr","age_region_significant","age_region_fstat","parity_region_pval","parity_region_fdr","parity_region_significant","parity_region_fstat","age_parity_region_pval","age_parity_region_fdr","age_parity_region_significant","age_parity_region_fstat","model_rsquared","residual_se"
"ENSRNOG00000047321","Hba-a3",11064,0.000431866197002369,0.000967813307373616,TRUE,14.2991907318843,3.8201744788836e-10,4.78133037777072e-06,TRUE,35.2412811184074,0.131320949222994,0.206821819614319,FALSE,2.35658416317797,3.37133920954891e-10,2.14529739438106e-06,TRUE,35.5505997262985,0.0244923162707076,0.109246081162945,FALSE,5.39405697300469,0.0600720131496479,0.995845833788686,FALSE,2.98360063909504,0.192457067201398,0.999622044844042,FALSE,1.70577276156456,0.782817557055523,4.69235086498897
"ENSRNOG00000058105",NA,12124,9.41044552758393e-09,5.36588319923647e-08,TRUE,48.0265469344842,8.36993688352718e-09,3.49193766780754e-05,TRUE,28.0912146215443,0.0227800873853422,0.0472828480455959,TRUE,5.53558462621634,3.42808787852518e-10,2.14529739438106e-06,TRUE,35.5091952482718,0.164932236399171,0.349642932041332,FALSE,1.98862472170196,0.0299749811676105,0.995845833788686,FALSE,3.77663423889154,0.365361983591961,0.999622044844042,FALSE,1.02828558577186,0.800300726861965,6.60568085042962
"ENSRNOG00000029886","Hba-a1",9823,6.32663702591081e-07,2.47150728670524e-06,TRUE,32.9029955315012,2.41987386915266e-09,1.51435706731573e-05,TRUE,30.855462110077,0.092127623160575,0.154443852759564,FALSE,2.95366258733422,6.16981884448091e-10,2.57404842191744e-06,TRUE,34.0697412897494,0.0434342067243887,0.156213371081164,FALSE,4.30287320781785,0.107321487704852,0.995845833788686,FALSE,2.3390008637105,0.198964131639011,0.999622044844042,FALSE,1.67018264770643,0.787637216638296,11.4688776272297
"ENSRNOG00000061299",NA,12448,5.57305364654347e-06,1.79450320144425e-05,TRUE,26.0927310456166,1.74742546019109e-07,0.000546769426493791,TRUE,21.8963305002283,0.056442683136889,0.10187017624629,FALSE,3.82128620438345,2.73008067314295e-09,8.54242242626429e-06,TRUE,30.5804690243529,0.091093455283725,0.244033751355116,FALSE,2.97312754678006,0.0723468262299998,0.995845833788686,FALSE,2.77536685359689,0.198250974481022,0.999622044844042,FALSE,1.67402361100796,0.753516909033124,4.14952175348955
"ENSRNOG00000009439","Eef1a1",3576,2.16985833616498e-23,1.69737168346505e-20,TRUE,338.810730230311,0.0383258229900729,0.347346850502355,FALSE,3.49365189568589,0.946635610398386,0.962868045489329,FALSE,0.00452705039578955,1.17413590757053e-06,0.00293909700383055,TRUE,18.3941868521358,0.209025227026673,0.403666061019262,FALSE,1.62142650990412,0.613237179009714,0.995845833788686,FALSE,0.494019269298141,0.607354904630888,0.999622044844042,FALSE,0.503858114110714,0.889453931823483,40.4492819020001
"ENSRNOG00000002194","Coq2",859,7.57339986455666e-09,4.41493585024645e-08,TRUE,48.8829834373686,3.96066658465585e-06,0.00991434059471051,TRUE,16.2999242543616,0.0171350591301512,0.0369762758746504,TRUE,6.09886221219569,2.46975782914883e-06,0.00515191483160447,TRUE,17.1008347996683,0.856917809592646,0.92172424414417,FALSE,0.0328593334790311,0.244709781812622,0.995845833788686,FALSE,1.4497841330102,0.204926722589826,0.999622044844042,FALSE,1.63861929499101,0.727261926143175,2.23149904330437
"ENSRNOG00000029336","Zfp180",9756,4.52600852247462e-08,2.23903251649377e-07,TRUE,42.0623228851548,0.0735206636713206,0.423165724853118,FALSE,2.75741673213554,0.11241216800113,0.182436552736273,FALSE,2.61498957307979,1.75191630833364e-05,0.0313242635930055,TRUE,13.8789720952189,0.869629288107821,0.928930628143508,FALSE,0.027228216855404,0.944146367273418,0.998542082781861,FALSE,0.0575429478547397,0.780110480379387,0.999622044844042,FALSE,0.249608809191393,0.620827987659467,13.0948618749261
