"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000029886","Hba-a1",37.0983313109525,-1.28170620631937,0.208173614392864,-6.15690999100657,7.4177978644591e-10,5.92369501073672e-06,TRUE,TRUE,TRUE,3.25455675805987
"ENSRNOG00000047321","Hba-a3",14.305816162751,-1.25653018067886,0.205375198384165,-6.11821773303149,9.46277158264652e-10,5.92369501073672e-06,TRUE,TRUE,TRUE,3.24196874523961
"ENSRNOG00000058105",NA,21.7753448097207,-1.24449891244274,0.209930721299817,-5.92814098259294,3.06383403104389e-09,1.27864006895565e-05,TRUE,TRUE,TRUE,3.06887530128677
"ENSRNOG00000061299",NA,11.7209772629846,-1.17331221808875,0.216250983337244,-5.42569656785774,5.77289582031233e-08,0.000180691639175776,TRUE,TRUE,TRUE,2.45818708020118
