"cell_type","dataset","n_samples","grand_mean","mean_Young","mean_Old","mean_Dorsal","mean_Ventral","mean_Nullip","mean_Parous","log2fc_age","pct_change_age","log2fc_region","pct_change_region","log2fc_parity","pct_change_parity","age_pval","parity_pval","region_pval","age_parity_pval","age_region_pval","parity_region_pval","three_way_pval"
"28_Ntng1 HPF","mouse10x_2020",60,0.0579417632198541,0.0598109021156911,0.0560726243240171,0.0541215775771968,0.0617619488625113,0.0572553724897122,0.058284958584925,-0.0931102768332308,-6.25016119041828,-0.190511086483215,-12.3706771337848,0.0257121014758487,1.79823490869389,0.0066084800911256,0.760196217293381,5.00115130074201e-07,0.537375890259943,0.00665934248185125,0.484356215252009,0.353495531626592
"324_ProS","mouse10x_2020",60,0.018792544485778,0.0175724540920039,0.020012634879552,0.0143973549963124,0.0231877339752435,0.0181796422007278,0.019098995628303,0.187585430185832,13.8863972827706,-0.687520061956507,-37.909607675835,0.0711691468327496,5.05704907403729,0.147490837770124,0.451931171313669,2.84751207124635e-06,0.263220052302087,0.00245088530119085,0.537129884346767,0.918766906858778
"33_Sncg","mouse10x_2020",60,0.00934445417125796,0.0110478246387323,0.00764108370378363,0.0118816018512082,0.00680730649130775,0.00857389907836328,0.00972973171770529,-0.531854940797638,-30.8363053030824,0.803482877914365,74.5418965104597,0.182428603119056,13.4808286029261,0.000431397345815066,0.466652874554563,9.07286907838438e-07,0.0642105839725351,0.0355524550201349,0.467332841582924,0.489571520120263
"34_Sncg","mouse10x_2020",60,0.0169242272172821,0.00994241115886927,0.0239060432756949,0.0102395010922067,0.0236089533423575,0.0190791538360857,0.0158467639078803,1.26562294577579,140.445128386882,-1.20510887895322,-56.6287376499842,-0.267793510350841,-16.9419983505333,4.58724590918999e-11,0.187930171163267,1.59057456111332e-10,0.587990429330382,1.09974381638245e-07,0.723661167104873,0.536699100742657
"345_CA1","mouse10x_2020",60,0.0445490621257037,0.0389556433813457,0.0501424808700618,0.0392629190075809,0.0498352052438266,0.0485215208690406,0.0425628327540353,0.364192772998387,28.7168597864127,-0.343990040988615,-21.214493217233,-0.189026436762171,-12.2805056566298,8.24397510762819e-06,0.0520487193145547,2.08346617443769e-05,0.271713655881297,0.817201490111279,0.844059297354713,0.882334440466549
"356_CA3-do","mouse10x_2020",60,0.0676189296390014,0.0689448302652808,0.0662930290127221,0.0856298022851469,0.0496080569928559,0.0639129124945593,0.0694719382112225,-0.0565843672948136,-3.84626554645981,0.787526308677825,72.6126913164095,0.120321109602348,8.69781316433727,0.316923816886918,0.0101694945533665,2.97672503177953e-18,0.904488028222301,0.617847816367236,0.296259574540982,0.722919216487397
"357_CA3-do","mouse10x_2020",60,0.15787027981093,0.156634723026778,0.159105836595082,0.155706514869715,0.160034044752145,0.155747569558071,0.158931634937359,0.0225825500769285,1.57762820436767,-0.0395492890769143,-2.7041307923775,0.0291964823106038,2.04437564472019,0.410414025206674,0.206606912723694,0.152380526688595,0.186513041259256,0.202079683284428,0.394457280402968,0.417093759118537
"358_CA3-do","mouse10x_2020",60,0.111317857268801,0.108069075461833,0.114566639075768,0.116205694525846,0.106430020011755,0.111142099207877,0.111405736299263,0.0842324991289388,6.01241713799068,0.126774488073894,9.18507251338631,0.00341809376212001,0.237207226842566,0.00366587680023131,0.246682802337497,3.13716961107299e-05,0.426857687926382,0.000238563303880234,0.640065174571889,0.19108256213398
"375_Oligo","mouse10x_2020",60,0.150774818346648,0.150563234750009,0.150986401943287,0.178585256224506,0.122964380468789,0.150097908918382,0.15111327306078,0.00404906846897788,0.281056125009616,0.538368858685563,45.2333232954679,0.00972644259315381,0.676467880008986,0.927752463342843,0.96430491222736,4.9486657804614e-16,0.295046253856404,0.0126604764320028,0.878139274987467,0.745628600585974
"376_Astro","mouse10x_2020",60,0.287290370773715,0.294126553713036,0.280454187834394,0.264928666527799,0.30965207501963,0.290718918169346,0.285576097075899,-0.0686716713537533,-4.64846363106036,-0.225043368724431,-14.4431160324037,-0.0257496369227031,-1.7690011801886,0.00571686117801186,0.0215943481269758,1.48874054543238e-12,0.707130238209788,0.423341096576381,0.714571952949691,0.846727819178248
