"cell_type","dataset","n_nullip","n_parous","mean_nullip","mean_parous","median_nullip","median_parous","log2fc_mean","log2fc_median","n_parous_above_nullip_mean","pct_parous_above_nullip","binom_p","wilcox_p","wilcox_direction","ttest_p","direction_agreement"
"356_CA3-do","mouse10x_2020",20,40,0.0639129124945593,0.0694719382112225,0.0662284052017581,0.0655927200709998,0.120321109602348,-0.0139142034861094,21,52.5,0.87462931238042,0.245011603832278,"parous lower",0.344482671471182,"DISAGREES"
"358_CA3-do","mouse_smartseq_2019",20,40,0.618670138714434,0.645604103940796,0.610245311091776,0.658302582057144,0.0614792509795721,0.109361378965823,25,62.5,0.153859944162832,0.203091697620915,"parous higher",0.147793733621638,"AGREES"
"376_Astro","mouse10x_2020",20,40,0.290718918169346,0.285576097075899,0.288155627816672,0.286048669485704,-0.0257496369227031,-0.0105875257448889,18,45,0.635828002628841,0.646378332008613,"parous lower",0.547518444638891,"AGREES"
"78_Sst HPF","mouse10x_2020",20,40,0.0156026581528411,0.0168589636102192,0.0143216738460444,0.0162498844697967,0.111717125382327,0.182217391273679,22,55,0.635828002628841,0.422570142054462,"parous higher",0.407499656094601,"AGREES"
