"cell_type","dataset","n_samples","grand_mean","mean_Young","mean_Old","mean_Dorsal","mean_Ventral","mean_Nullip","mean_Parous","log2fc_age","pct_change_age","log2fc_region","pct_change_region","log2fc_parity","pct_change_parity","age_pval","parity_pval","region_pval","age_parity_pval","age_region_pval","parity_region_pval","three_way_pval"
"358_CA3-do","mouse_smartseq_2019",60,0.636626115532009,0.640194075329983,0.633058155734035,0.691363272854143,0.581888958209875,0.618670138714434,0.645604103940796,-0.016171261563835,-1.11464942756143,0.248699702958074,18.8136092118084,0.0614792509795721,4.3535259811196,0.406781158980675,0.00861923984531888,3.87145366190218e-17,0.187926638548142,0.598326693246096,0.724126962921549,0.452241021566373
"356_CA3-do","mouse10x_2020",60,0.0676189296390014,0.0689448302652808,0.0662930290127221,0.0856298022851469,0.0496080569928559,0.0639129124945593,0.0694719382112225,-0.0565843672948136,-3.84626554645981,0.787526308677825,72.6126913164095,0.120321109602348,8.69781316433727,0.316923816886918,0.0101694945533665,2.97672503177953e-18,0.904488028222301,0.617847816367236,0.296259574540982,0.722919216487397
"376_Astro","mouse10x_2020",60,0.287290370773715,0.294126553713036,0.280454187834394,0.264928666527799,0.30965207501963,0.290718918169346,0.285576097075899,-0.0686716713537533,-4.64846363106036,-0.225043368724431,-14.4431160324037,-0.0257496369227031,-1.7690011801886,0.00571686117801186,0.0215943481269758,1.48874054543238e-12,0.707130238209788,0.423341096576381,0.714571952949691,0.846727819178248
"78_Sst HPF","mouse10x_2020",60,0.0164401951244265,0.0201132957726893,0.0127670944761636,0.0135633145488239,0.0193170757000291,0.0156026581528411,0.0168589636102192,-0.655677996461092,-36.5241051469082,-0.510135247352043,-29.785880847361,0.111717125382327,8.05186811805703,1.74927226275147e-11,0.028671132145071,1.28843825856687e-08,0.959669064372171,0.00308421208268922,0.473144373566832,0.874272663966352
