"ensembl_id","gene_name","loading","abs_loading","original_pval","reduced_pval","log_pval_degradation","original_coef","reduced_coef","coef_degradation","original_r2","reduced_r2","r2_loss","contribution_score","PC","model","test_term","external_gene_name","final_rank"
"ENSRNOG00000034198","Gene_10809",0.00625862667715791,0.00625862667715791,0.047508095512377,0.0737264262702322,0.190855561997848,11.6054309272212,13.8746676621944,2.26923673497326,0.0660150458719886,0.0540956287229684,0.0119194171490202,1.38279727689987,5,"Parity_Binary","parity_binaryParous","Tceal9",1
"ENSRNOG00000048617","Gene_11796",-0.00505501727905312,0.00505501727905312,0.047508095512377,0.0659017543138023,0.142129354801437,11.6054309272212,10.7352327654424,0.870198161778758,0.0660150458719886,0.0571208220310368,0.0088942238409518,1.03155173889662,5,"Parity_Binary","parity_binaryParous","Ensa",2
"ENSRNOG00000045998","Gene_11467",-0.00845856183610517,0.00845856183610517,0.047508095512377,0.0626371893938867,0.120064641245174,11.6054309272212,10.7805367725073,0.824894154713872,0.0660150458719886,0.058495210348493,0.00751983552349558,0.872048193594732,5,"Parity_Binary","parity_binaryParous","Sema6b",3
"ENSRNOG00000016271","Gene_6534",0.0140155505699261,0.0140155505699261,0.047508095512377,0.0605665687773158,0.10546534974473,11.6054309272212,10.5784404774574,1.02699044976378,0.0660150458719886,0.0594060064029496,0.00660903946903898,0.766369296648628,5,"Parity_Binary","parity_binaryParous","Itm2b",4
"ENSRNOG00000017421","Gene_7030",-0.00878592130673555,0.00878592130673555,0.047508095512377,0.0569646481474737,0.0788377982994276,11.6054309272212,11.0236752212908,0.581755705930343,0.0660150458719886,0.0610699483707903,0.00494509750119834,0.573347548419262,5,"Parity_Binary","parity_binaryParous","Alpk2",5
"ENSRNOG00000049517","Gene_11914",-0.0129077985553889,0.0129077985553889,0.047508095512377,0.0555110949132223,0.0676121726120609,11.6054309272212,11.0635056247169,0.541925302504227,0.0660150458719886,0.0617724435018077,0.00424260237018089,0.49187240963015,5,"Parity_Binary","parity_binaryParous","Tnfaip3",6
"ENSRNOG00000016147","Gene_6466",0.0035068910953248,0.0035068910953248,0.047508095512377,0.0553789188474314,0.0665768519145258,11.6054309272212,11.206729581741,0.398701345480132,0.0660150458719886,0.0618372625570999,0.00417778331488869,0.484355183403395,5,"Parity_Binary","parity_binaryParous","Slc17a6",7
"ENSRNOG00000005468","Gene_2214",-0.0255947888491643,0.0255947888491643,0.047508095512377,0.0553500542854451,0.0663504302306166,11.6054309272212,10.9652078164086,0.640223110812585,0.0660150458719886,0.0618514389467162,0.00416360692527237,0.482711122757854,5,"Parity_Binary","parity_binaryParous","Rbm28",8
"ENSRNOG00000011829","Gene_4746",-0.00698293976560869,0.00698293976560869,0.047508095512377,0.0532969376982956,0.0499346354004838,11.6054309272212,11.2501216909253,0.355309236295835,0.0660150458719886,0.0628798493838041,0.00313519648818447,0.363454284218931,5,"Parity_Binary","parity_binaryParous","Rpgrip1l",9
"ENSRNOG00000029871","Gene_10288",-0.00940587596000823,0.00940587596000823,0.047508095512377,0.0517726744566896,0.0373329792848509,11.6054309272212,11.3753416215886,0.230089305632569,0.0660150458719886,0.0636701042380531,0.00234494163393546,0.271827142678397,5,"Parity_Binary","parity_binaryParous","Slc8a3",10
