"ensembl_id","gene_name","loading","abs_loading","original_pval","reduced_pval","log_pval_degradation","original_coef","reduced_coef","coef_degradation","original_r2","reduced_r2","r2_loss","contribution_score","PC","model","test_term","external_gene_name","final_rank"
"ENSRNOG00000034198","Gene_10809",-0.00616996710860896,0.00616996710860896,0.0256594982485671,0.0664015848542593,0.412930285276878,-11.0335268122509,-13.270617589295,2.23709077704411,0.0829373132632842,0.0569166518076279,0.0260206614556563,3.01499643084251,6,"Parity_Binary","parity_binaryParous","Tceal9",1
"ENSRNOG00000048617","Gene_11796",0.00731999097506704,0.00731999097506704,0.0256594982485671,0.0471034313081794,0.263804385171461,-11.0335268122509,-9.77342376232945,1.26010304992145,0.0829373132632842,0.0662486878869375,0.0166886253763467,1.93266692280613,6,"Parity_Binary","parity_binaryParous","Ensa",2
"ENSRNOG00000017421","Gene_7030",0.0179326416135674,0.0179326416135674,0.0256594982485671,0.0372408313250232,0.161771207316488,-11.0335268122509,-9.84612526187518,1.18740155037572,0.0829373132632842,0.0726833843442826,0.0102539289190016,1.18716409921665,6,"Parity_Binary","parity_binaryParous","Alpk2",3
"ENSRNOG00000030449","Gene_10371",0.00317436655367128,0.00317436655367128,0.0256594982485671,0.0358342971769919,0.145050731178788,-11.0335268122509,-10.3897543173818,0.643772494869101,0.0829373132632842,0.073740712408529,0.00919660085475524,1.06471081665431,6,"Parity_Binary","parity_binaryParous","Gsta4",4
"ENSRNOG00000019825","Gene_8116",-0.0188825351326792,0.0188825351326792,0.0256594982485671,0.0344688834332402,0.128179055497515,-11.0335268122509,-10.1300213479523,0.903505464298576,0.0829373132632842,0.0748082919082177,0.00812902135506645,0.94108119100416,6,"Parity_Binary","parity_binaryParous","Zdhhc24",5
"ENSRNOG00000016271","Gene_6534",-0.00674343256956913,0.00674343256956913,0.0256594982485671,0.0320536362505688,0.0966291443490041,-11.0335268122509,-10.539401318356,0.494125493894892,0.0829373132632842,0.0768063688163462,0.006130944446938,0.709723589042804,6,"Parity_Binary","parity_binaryParous","Itm2b",6
"ENSRNOG00000045998","Gene_11467",0.00430468825632707,0.00430468825632707,0.0256594982485671,0.0316064967785158,0.0905282020595308,-11.0335268122509,-10.613725875719,0.419800936531871,0.0829373132632842,0.077192984589293,0.00574432867399119,0.66496106945865,6,"Parity_Binary","parity_binaryParous","Sema6b",7
"ENSRNOG00000015084","Gene_6077",0.00472865400400567,0.00472865400400567,0.0256594982485671,0.0310227137161072,0.0824316252754348,-11.0335268122509,-10.6455042632279,0.388022549023034,0.0829373132632842,0.0777061755839703,0.00523113767931388,0.605545393206823,6,"Parity_Binary","parity_binaryParous","Necab2",8
"ENSRNOG00000052775","Gene_12307",-0.00833811172724575,0.00833811172724575,0.0256594982485671,0.0308689941544773,0.0802743186847145,-11.0335268122509,-10.6191824231218,0.414344389129059,0.0829373132632842,0.0778429347422025,0.0050943785210817,0.589712170792885,6,"Parity_Binary","parity_binaryParous","Rimoc1",9
"ENSRNOG00000002833","Gene_1135",-0.0226499306178235,0.0226499306178235,0.0256594982485671,0.0307286453338903,0.0782952550612696,-11.0335268122509,-10.4899813475841,0.543545464666764,0.0829373132632842,0.0779684021244716,0.00496891113881255,0.575186368942525,6,"Parity_Binary","parity_binaryParous","Gsk3b",10
"ENSRNOG00000005468","Gene_2214",0.0166467294243236,0.0166467294243236,0.0256594982485671,0.0303240306735871,0.0725387674357307,-11.0335268122509,-10.6171287337317,0.416398078519178,0.0829373132632842,0.0783333892580925,0.00460392400519166,0.532931167954897,6,"Parity_Binary","parity_binaryParous","Rbm28",11
"ENSRNOG00000033215","Gene_10692",-0.00993717527482666,0.00993717527482666,0.0256594982485671,0.0300435137081874,0.0685025639333772,-11.0335268122509,-10.640255115159,0.393271697091917,0.0829373132632842,0.0785893385067306,0.00434797475655363,0.50330003958874,6,"Parity_Binary","parity_binaryParous","RT1-Db1",12
