"cell_type","n_total","n_datasets","grand_mean","log2fc_age","pct_change_age","log2fc_region","pct_change_region","log2fc_parity","pct_change_parity","mean_Young","mean_Old","mean_Dorsal","mean_Ventral","mean_Nullip","mean_Parous","age_pval","region_pval","parity_pval","age_region_pval","age_parity_pval","parity_region_pval","three_way_pval"
"386_Micro-PVM",60,1,0.0145278556847519,-0.684000373976369,-37.7584126062485,-0.33682662188,-20.8231826497383,0.0799287562639093,5.69699138389385,0.0179089170885558,0.011146794280948,0.0128394888697456,0.0162162224997582,0.0139962778557467,0.0147936445992545,7.29602656383847e-10,0.000379095058402729,0.382148309374186,0.00301253353832958,0.342674268085054,0.413330936838195,0.479947723234598
"CA1/CA2_dorsal",60,1,0.00510735409312615,1.19289969633844,128.653152448705,13.3185015994189,Inf,-1.58258234570911,-66.6188778955914,0.00310805118105374,0.00710665700519856,0.0102147081862523,0,0.00918796838701234,0.00306704694618305,0.148133840231734,0.000468887157557573,0.115152385451425,0.148133840231733,0.172534745375397,0.115152385451425,0.172534745375396
"Cluster_25_Subi",120,2,0.0990678182650732,-0.0403918014999015,-2.76094414070191,-0.738506173409588,-40.0643600907461,-0.034704560228416,-2.37685799241809,0.100454565484986,0.0976810710451605,0.0742510310459861,0.12388460548416,0.100662894297411,0.098270280248904,0.548668521174332,9.31676937319563e-19,0.883593288889237,0.105284230901932,0.588538868318527,0.589835566130341,0.931809751604117
"Cluster_28_Subi",180,2,0.0535489994165683,0.22244181709805,16.6709984963152,-0.0910649542211253,-6.11716297899643,-0.00944441772847497,-0.652511203227702,0.0494288573811866,0.05766914145195,0.0518594844402744,0.0552385143928622,0.0537829593065032,0.0534320194716008,0.0214253774580621,0.342334070323436,0.86939085156343,0.0822659568985935,0.521256273152975,0.978151312458948,0.9716866082114
"Cluster_33_Caja",180,1,0.110736389246858,-0.0617054873988041,-4.18695785481113,-0.216818062586273,-13.9540036170575,-0.0250220282723119,-1.71945613590106,0.113104201879209,0.108368576614506,0.10243083037361,0.119041948120105,0.11202048464465,0.110094341547962,0.809391744523548,0.397962871452424,0.969307945915713,0.967039471405184,0.998495387528836,0.99733380098166,0.99750417132411
"Cluster_53_Pyra",120,1,0.488947136949532,-0.00607815921863283,-0.420420502345063,-0.00247345503353742,-0.171300302182382,0.0102635917589317,0.713956025465944,0.489977119082242,0.487917154816821,0.488527993991401,0.489366279907662,0.486630916449683,0.490105247199456,0.982577091691625,0.992909410590907,0.999394102162937,0.991585761259435,0.999497896873375,0.999745655236279,0.999561156179223
"DG",60,1,0.000845614810716984,1.84162780103625,259.115714477321,-9.04095075679181,-99.869246971961,-1.12643072605891,-54.2361616564892,0.000368366746792656,0.00132286287464131,2.20844633066801e-06,0.0016890211751033,0.00132453151212002,0.000606156460015465,0.356600774906195,0.106506874793214,0.509427787094013,0.358810866920911,0.59251925413005,0.5114154776167,0.591254223307377
"DG/CA1/CA2/CA3_dorsal",120,2,0.507264068441687,0.0149502466260778,1.04166208857121,0.214603222156791,16.0385076699287,0.0170214302067815,1.18682550784983,0.50463576869774,0.509892368185634,0.544922904082282,0.469605232801092,0.503282015550372,0.509255094887345,0.284771331693673,6.50584290405565e-29,0.0791754541041705,0.473658492177249,0.42151173230847,0.344078197367866,0.649888908319339
"Microglia",60,1,0.00012815587227743,8.00737349769899,Inf,-0.511656653323079,-30.0563177735122,2.59915022367582,523.65928603216,0,0.000256311744554859,0.000105490165784272,0.000150821578770587,2.85357616827933e-05,0.000177965927574748,0.00657119193106393,0.617574542377307,0.0574721599799619,0.617574542377306,0.0574721599799618,0.630850226835702,0.630850226835702
"Oligodendrocyte",60,1,0.150774818346648,0.00404906846897788,0.281056125009616,0.538368858685563,45.2333232954679,0.00972644259315381,0.676467880008986,0.150563234750009,0.150986401943287,0.178585256224506,0.122964380468789,0.150097908918382,0.15111327306078,0.927752463342843,4.9486657804614e-16,0.96430491222736,0.0126604764320028,0.295046253856404,0.878139274987467,0.745628600585974
"Pvalb/Vip_IN",60,1,0.000545618798339134,-3.10799245347782,-88.4918539945383,-2.44123892968552,-81.6759197087961,0.519659086052931,43.4641443538234,0.000978616931380797,0.000112620665297471,0.00016899286509645,0.000922244731581818,0.000423038698071045,0.000606908848473179,0.00285127848733854,0.00870684082109422,0.806123471383827,0.0611495820037476,0.737622126050427,0.255117641968821,0.284103373808509
"Sncg_IN",120,1,0.0421052223041971,0.116877730459385,8.43875911440757,-0.273820347583011,-17.2877390447987,-0.0178994466224975,-1.23305925020639,0.0404005689566463,0.0438098756517478,0.0381213402603058,0.0460891043480883,0.0424542127020806,0.0419307271052553,0.304232124903876,0.0175248438956141,0.985511093314061,0.486274213463584,0.955189626676552,0.944408885117791,0.920486889220437
"Sst_IN",120,2,0.0162955867144562,-0.363815047299494,-22.2905266595781,-0.564898890865628,-32.4013869904393,0.0509612895264925,3.59572257006691,0.0183395813494312,0.0142515920794812,0.0131452049667192,0.0194459684621932,0.0159141020743815,0.0164863290344935,3.66325223791324e-08,4.13575841566766e-15,0.636806082560606,0.260496020429505,0.556098880926474,0.921089879181052,0.95585779515572
"Subiculum",120,2,0.0139264860806823,-0.417437914434783,-25.1262617615628,-1.15337432330946,-55.0456151387953,-0.136970810830129,-9.0579459452693,0.0159274756987167,0.0119254964626479,0.0086379810536212,0.0192149911077434,0.0148215018300439,0.0134789782060015,0.0154612440199882,2.57303835441551e-09,0.662110760719694,0.936393233362605,0.691993240738377,0.956154820443946,0.897425222527148
