"pathway_id"
"GO:0032984"
"GO:0019904"
"GO:0050767"
"GO:0006935"
"GO:0042330"
"GO:0046394"
"GO:0048675"
"GO:1902494"
"GO:0007613"
"GO:0005539"
"GO:0001763"
"GO:0010628"
"GO:0071248"
"GO:0061024"
"GO:0050794"
"GO:0007626"
"GO:0001666"
"GO:0036293"
"GO:0043235"
