"pathway_id"
"GO:0042734"
"GO:0019866"
"GO:0045177"
"GO:0097159"
"GO:0010256"
"GO:0051668"
"GO:0007009"
"GO:0031647"
"GO:0050789"
"GO:1903522"
"GO:0006351"
"GO:0043231"
"GO:0005509"
