"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000029886","Hba-a1",37.0983313109525,-1.28170620631937,0.208173614392864,-6.15690999100657,7.4177978644591e-10,5.92369501073672e-06,TRUE,TRUE,TRUE,3.25455675805987
"ENSRNOG00000047321","Hba-a3",14.305816162751,-1.25653018067886,0.205375198384165,-6.11821773303149,9.46277158264652e-10,5.92369501073672e-06,TRUE,TRUE,TRUE,3.24196874523961
"ENSRNOG00000058105",NA,21.7753448097207,-1.24449891244274,0.209930721299817,-5.92814098259294,3.06383403104389e-09,1.27864006895565e-05,TRUE,TRUE,TRUE,3.06887530128677
"ENSRNOG00000061299",NA,11.7209772629846,-1.17331221808875,0.216250983337244,-5.42569656785774,5.77289582031233e-08,0.000180691639175776,TRUE,TRUE,TRUE,2.45818708020118
"ENSRNOG00000056716","Zbtb20",20.5861980584627,-0.321497152594115,0.0912642961258969,-3.52270456510854,0.000427167241588014,0.999995822429765,FALSE,FALSE,TRUE,0.160749483446803
"ENSRNOG00000033299","ATP8",455.93879064206,-0.414227967153221,0.122358539795194,-3.38536213203069,0.000710844078431127,0.999995822429765,FALSE,FALSE,TRUE,0.207114890726356
"ENSRNOG00000017619","Aldh1a1",21.523743680349,0.314447079487237,0.0972180412118604,3.23445191414611,0.00121876441672923,0.999995822429765,FALSE,FALSE,TRUE,0.157224446893364
"ENSRNOG00000010210","Slc7a11",52.3877936210463,-0.226175142353725,0.0738861834850531,-3.06112904585847,0.00220504036280993,0.999995822429765,FALSE,FALSE,FALSE,0.113088478326608
"ENSRNOG00000006365","Asb15",5.65752743935535,-0.911284612808286,0.312022874558715,-2.9205698912206,0.00349391818114762,0.999995822429765,FALSE,FALSE,TRUE,0.455643213553888
"ENSRNOG00000011879","Nfat5",44.3183343668795,-0.191692187971493,0.0657132689593883,-2.91710016876442,0.00353302290753417,0.999995822429765,FALSE,FALSE,FALSE,0.0958470011354919
"ENSRNOG00000015133","Kmt2a",60.1584245758416,-0.154883741239397,0.0558539848286723,-2.77301148189321,0.00555401610464383,0.999995822429765,FALSE,FALSE,FALSE,0.077442777769444
